任务编号,任务类型,到达小时,图形处理器需求量,连续执行时长,延时敏感性,来源区域,最大网络时延,最晚完成小时,最早开工小时,执行模式,连续执行时长_小时
5471,批量推理任务,668,9,152,中,区域A,80,2406,668,不可抢占,2.533333333333333
5472,批量推理任务,1868,21,294,中,区域B,80,2406,1868,不可抢占,4.9
5473,实时推理任务,1041,6,30,高,区域B,20,1042,1041,不可抢占,0.5
5474,人工智能训练任务,1742,32,155,低,区域E,150,2406,1742,不可抢占,2.5833333333333335
5475,人工智能训练任务,586,72,325,低,区域F,150,2406,586,不可抢占,5.416666666666667
5476,人工智能训练任务,834,53,212,低,区域F,150,2406,834,不可抢占,3.533333333333333
5477,实时推理任务,1103,4,210,高,区域A,20,1107,1103,不可抢占,3.5
5478,人工智能训练任务,789,16,268,低,区域D,150,2406,789,不可抢占,4.466666666666667
5479,人工智能训练任务,1524,78,32,低,区域D,150,2406,1524,不可抢占,0.5333333333333333
5480,人工智能训练任务,2094,24,348,低,区域E,150,2406,2094,不可抢占,5.8
5481,人工智能训练任务,671,124,375,低,区域E,150,2406,671,不可抢占,6.25
5482,批量推理任务,628,23,327,中,区域E,80,2406,628,不可抢占,5.45
5483,批量推理任务,1776,10,36,中,区域A,80,2406,1776,不可抢占,0.6
5484,批量推理任务,106,17,298,中,区域A,80,2406,106,不可抢占,4.966666666666667
5485,人工智能训练任务,1013,107,361,低,区域D,150,2406,1013,不可抢占,6.016666666666667
5486,实时推理任务,1106,2,236,高,区域B,20,1110,1106,不可抢占,3.933333333333333
5487,实时推理任务,2176,7,303,高,区域B,20,2182,2176,不可抢占,5.05
5488,实时推理任务,2246,6,50,高,区域C,20,2247,2246,不可抢占,0.8333333333333334
5489,批量推理任务,270,12,200,中,区域F,80,2406,270,不可抢占,3.3333333333333335
5490,批量推理任务,364,18,393,中,区域A,80,2406,364,不可抢占,6.55
5491,批量推理任务,1366,19,151,中,区域B,80,2406,1366,不可抢占,2.5166666666666666
5492,批量推理任务,599,9,145,中,区域B,80,2406,599,不可抢占,2.4166666666666665
5493,实时推理任务,1120,4,321,高,区域B,20,1126,1120,不可抢占,5.35
5494,实时推理任务,401,6,129,高,区域C,20,404,401,不可抢占,2.15
5495,批量推理任务,910,17,57,中,区域E,80,2406,910,不可抢占,0.95
5496,批量推理任务,430,9,40,中,区域F,80,2406,430,不可抢占,0.6666666666666666
5497,实时推理任务,719,1,80,高,区域A,20,721,719,不可抢占,1.3333333333333333
5498,人工智能训练任务,1255,23,395,低,区域D,150,2406,1255,不可抢占,6.583333333333333
5499,人工智能训练任务,2005,32,54,低,区域D,150,2406,2005,不可抢占,0.9
5500,实时推理任务,2166,5,309,高,区域B,20,2172,2166,不可抢占,5.15
5501,批量推理任务,2343,20,47,中,区域E,80,2406,2343,不可抢占,0.7833333333333333
5502,批量推理任务,2259,6,240,中,区域F,80,2406,2259,不可抢占,4
5503,批量推理任务,405,9,188,中,区域A,80,2406,405,不可抢占,3.1333333333333333
5504,实时推理任务,699,5,195,高,区域A,20,703,699,不可抢占,3.25
5505,批量推理任务,1595,12,22,中,区域B,80,2406,1595,不可抢占,0.36666666666666664
5506,实时推理任务,1413,3,229,高,区域B,20,1417,1413,不可抢占,3.816666666666667
5507,人工智能训练任务,2177,45,365,低,区域E,150,2406,2177,不可抢占,6.083333333333333
5508,人工智能训练任务,1649,17,45,低,区域F,150,2406,1649,不可抢占,0.75
5509,批量推理任务,522,11,391,中,区域F,80,2406,522,不可抢占,6.516666666666667
5510,批量推理任务,38,4,59,中,区域A,80,2406,38,不可抢占,0.9833333333333333
5511,人工智能训练任务,2103,94,107,低,区域D,150,2406,2103,不可抢占,1.7833333333333334
5512,人工智能训练任务,636,58,360,低,区域D,150,2406,636,不可抢占,6
5513,人工智能训练任务,517,93,56,低,区域E,150,2406,517,不可抢占,0.9333333333333333
5514,实时推理任务,1551,6,320,高,区域C,20,1557,1551,不可抢占,5.333333333333333
5515,人工智能训练任务,1095,44,72,低,区域F,150,2406,1095,不可抢占,1.2
5516,实时推理任务,1516,3,110,高,区域A,20,1518,1516,不可抢占,1.8333333333333333
5517,人工智能训练任务,1020,52,317,低,区域D,150,2406,1020,不可抢占,5.283333333333333
5518,人工智能训练任务,1713,72,37,低,区域D,150,2406,1713,不可抢占,0.6166666666666667
5519,人工智能训练任务,1875,51,329,低,区域D,150,2406,1875,不可抢占,5.483333333333333
5520,实时推理任务,1797,2,205,高,区域B,20,1801,1797,不可抢占,3.4166666666666665
5521,批量推理任务,1919,17,99,中,区域E,80,2406,1919,不可抢占,1.65
5522,人工智能训练任务,1174,23,217,低,区域F,150,2406,1174,不可抢占,3.6166666666666667
5523,批量推理任务,1752,23,272,中,区域A,80,2406,1752,不可抢占,4.533333333333333
5524,人工智能训练任务,937,32,223,低,区域D,150,2406,937,不可抢占,3.716666666666667
5525,批量推理任务,356,15,321,中,区域C,80,2406,356,不可抢占,5.35
5526,批量推理任务,1665,17,265,中,区域D,80,2406,1665,不可抢占,4.416666666666667
5527,批量推理任务,369,18,25,中,区域D,80,2406,369,不可抢占,0.4166666666666667
5528,人工智能训练任务,325,84,253,低,区域F,150,2406,325,不可抢占,4.216666666666667
5529,实时推理任务,983,4,164,高,区域A,20,986,983,不可抢占,2.7333333333333334
5530,实时推理任务,676,7,56,高,区域A,20,677,676,不可抢占,0.9333333333333333
5531,人工智能训练任务,235,58,315,低,区域D,150,2406,235,不可抢占,5.25
5532,实时推理任务,1170,5,209,高,区域B,20,1174,1170,不可抢占,3.4833333333333334
5533,人工智能训练任务,2018,72,387,低,区域E,150,2406,2018,不可抢占,6.45
5534,实时推理任务,1736,4,347,高,区域C,20,1742,1736,不可抢占,5.783333333333333
5535,人工智能训练任务,2083,37,341,低,区域F,150,2406,2083,不可抢占,5.683333333333334
5536,人工智能训练任务,558,34,176,低,区域B,150,2406,558,不可抢占,2.933333333333333
5537,批量推理任务,2039,13,258,中,区域B,80,2406,2039,不可抢占,4.3
5538,人工智能训练任务,2180,22,366,低,区域D,150,2406,2180,不可抢占,6.1
5539,人工智能训练任务,510,126,197,低,区域E,150,2406,510,不可抢占,3.283333333333333
5540,批量推理任务,56,23,243,中,区域D,80,2406,56,不可抢占,4.05
5541,人工智能训练任务,778,39,390,低,区域F,150,2406,778,不可抢占,6.5
5542,人工智能训练任务,29,105,355,低,区域A,150,2406,29,不可抢占,5.916666666666667
5543,人工智能训练任务,1740,25,254,低,区域D,150,2406,1740,不可抢占,4.233333333333333
5544,人工智能训练任务,2188,93,121,低,区域D,150,2406,2188,不可抢占,2.0166666666666666
5545,人工智能训练任务,1413,92,80,低,区域D,150,2406,1413,不可抢占,1.3333333333333333
5546,实时推理任务,2163,2,95,高,区域B,20,2165,2163,不可抢占,1.5833333333333333
5547,人工智能训练任务,173,38,249,低,区域F,150,2406,173,不可抢占,4.15
5548,人工智能训练任务,1837,88,358,低,区域F,150,2406,1837,不可抢占,5.966666666666667
5549,实时推理任务,2144,1,208,高,区域A,20,2148,2144,不可抢占,3.466666666666667
5550,实时推理任务,716,3,101,高,区域A,20,718,716,不可抢占,1.6833333333333333
5551,实时推理任务,1503,3,93,高,区域B,20,1505,1503,不可抢占,1.55
5552,实时推理任务,2104,4,305,高,区域B,20,2110,2104,不可抢占,5.083333333333333
5553,批量推理任务,208,10,290,中,区域D,80,2406,208,不可抢占,4.833333333333333
5554,批量推理任务,2029,12,368,中,区域E,80,2406,2029,不可抢占,6.133333333333334
5555,批量推理任务,698,11,250,中,区域F,80,2406,698,不可抢占,4.166666666666667
5556,批量推理任务,463,20,351,中,区域A,80,2406,463,不可抢占,5.85
5557,批量推理任务,1023,5,273,中,区域B,80,2406,1023,不可抢占,4.55
5558,人工智能训练任务,482,60,225,低,区域D,150,2406,482,不可抢占,3.75
5559,批量推理任务,1225,13,203,中,区域D,80,2406,1225,不可抢占,3.3833333333333333
5560,批量推理任务,1202,17,112,中,区域D,80,2406,1202,不可抢占,1.8666666666666667
5561,批量推理任务,872,15,229,中,区域F,80,2406,872,不可抢占,3.816666666666667
5562,实时推理任务,2329,7,375,高,区域A,20,2336,2329,不可抢占,6.25
5563,批量推理任务,890,7,45,中,区域B,80,2406,890,不可抢占,0.75
5564,批量推理任务,2111,21,266,中,区域B,80,2406,2111,不可抢占,4.433333333333334
5565,实时推理任务,1896,1,327,高,区域B,20,1902,1896,不可抢占,5.45
5566,人工智能训练任务,1999,63,156,低,区域E,150,2406,1999,不可抢占,2.6
5567,实时推理任务,1457,7,236,高,区域C,20,1461,1457,不可抢占,3.933333333333333
5568,实时推理任务,1885,1,356,高,区域E,20,1891,1885,不可抢占,5.933333333333334
5569,批量推理任务,1222,12,379,中,区域A,80,2406,1222,不可抢占,6.316666666666666
5570,批量推理任务,438,21,65,中,区域B,80,2406,438,不可抢占,1.0833333333333333
5571,实时推理任务,1432,6,215,高,区域B,20,1436,1432,不可抢占,3.5833333333333335
5572,人工智能训练任务,762,40,397,低,区域E,150,2406,762,不可抢占,6.616666666666666
5573,批量推理任务,1452,18,297,中,区域D,80,2406,1452,不可抢占,4.95
5574,实时推理任务,415,2,259,高,区域C,20,420,415,不可抢占,4.316666666666666
5575,批量推理任务,2015,4,198,中,区域A,80,2406,2015,不可抢占,3.3
5576,实时推理任务,347,4,19,高,区域A,20,348,347,不可抢占,0.31666666666666665
5577,人工智能训练任务,2106,103,49,低,区域D,150,2406,2106,不可抢占,0.8166666666666667
5578,实时推理任务,1682,1,80,高,区域B,20,1684,1682,不可抢占,1.3333333333333333
5579,实时推理任务,1996,1,398,高,区域B,20,2003,1996,不可抢占,6.633333333333334
5580,实时推理任务,637,2,308,高,区域C,20,643,637,不可抢占,5.133333333333334
5581,人工智能训练任务,1024,104,278,低,区域F,150,2406,1024,不可抢占,4.633333333333334
5582,实时推理任务,1927,3,26,高,区域A,20,1928,1927,不可抢占,0.43333333333333335
5583,批量推理任务,1533,8,199,中,区域B,80,2406,1533,不可抢占,3.316666666666667
5584,批量推理任务,1492,23,371,中,区域C,80,2406,1492,不可抢占,6.183333333333334
5585,批量推理任务,746,11,230,中,区域D,80,2406,746,不可抢占,3.8333333333333335
5586,人工智能训练任务,1103,119,207,低,区域E,150,2406,1103,不可抢占,3.45
5587,实时推理任务,1796,4,368,高,区域C,20,1803,1796,不可抢占,6.133333333333334
5588,人工智能训练任务,1799,127,158,低,区域A,150,2406,1799,不可抢占,2.6333333333333333
5589,实时推理任务,572,1,51,高,区域A,20,573,572,不可抢占,0.85
5590,批量推理任务,1777,13,253,中,区域B,80,2406,1777,不可抢占,4.216666666666667
5591,实时推理任务,1471,5,295,高,区域B,20,1476,1471,不可抢占,4.916666666666667
5592,人工智能训练任务,812,41,390,低,区域E,150,2406,812,不可抢占,6.5
5593,实时推理任务,776,6,62,高,区域C,20,778,776,不可抢占,1.0333333333333334
5594,批量推理任务,164,20,369,中,区域F,80,2406,164,不可抢占,6.15
5595,实时推理任务,1616,5,370,高,区域A,20,1623,1616,不可抢占,6.166666666666667
5596,批量推理任务,1356,11,186,中,区域B,80,2406,1356,不可抢占,3.1
5597,实时推理任务,656,3,90,高,区域B,20,658,656,不可抢占,1.5
5598,人工智能训练任务,815,80,386,低,区域E,150,2406,815,不可抢占,6.433333333333334
5599,批量推理任务,1088,9,139,中,区域D,80,2406,1088,不可抢占,2.316666666666667
5600,实时推理任务,1724,3,302,高,区域C,20,1730,1724,不可抢占,5.033333333333333
5601,批量推理任务,2253,15,359,中,区域F,80,2406,2253,不可抢占,5.983333333333333
5602,批量推理任务,521,19,280,中,区域A,80,2406,521,不可抢占,4.666666666666667
5603,批量推理任务,1637,18,281,中,区域B,80,2406,1637,不可抢占,4.683333333333334
5604,人工智能训练任务,1592,35,55,低,区域D,150,2406,1592,不可抢占,0.9166666666666666
5605,实时推理任务,449,7,73,高,区域B,20,451,449,不可抢占,1.2166666666666666
5606,实时推理任务,86,5,18,高,区域C,20,87,86,不可抢占,0.3
5607,实时推理任务,637,3,307,高,区域D,20,643,637,不可抢占,5.116666666666666
5608,批量推理任务,2048,17,93,中,区域A,80,2406,2048,不可抢占,1.55
5609,实时推理任务,968,3,166,高,区域A,20,971,968,不可抢占,2.7666666666666666
5610,实时推理任务,1401,7,70,高,区域B,20,1403,1401,不可抢占,1.1666666666666667
5611,批量推理任务,32,8,212,中,区域C,80,2406,32,不可抢占,3.533333333333333
5612,批量推理任务,1966,4,115,中,区域D,80,2406,1966,不可抢占,1.9166666666666667
5613,批量推理任务,1155,4,327,中,区域E,80,2406,1155,不可抢占,5.45
5614,批量推理任务,338,10,311,中,区域F,80,2406,338,不可抢占,5.183333333333334
5615,批量推理任务,1014,8,79,中,区域A,80,2406,1014,不可抢占,1.3166666666666667
5616,人工智能训练任务,624,47,147,低,区域D,150,2406,624,不可抢占,2.45
5617,人工智能训练任务,2094,126,256,低,区域D,150,2406,2094,不可抢占,4.266666666666667
5618,实时推理任务,1021,2,21,高,区域B,20,1022,1021,不可抢占,0.35
5619,批量推理任务,471,22,345,中,区域D,80,2406,471,不可抢占,5.75
5620,批量推理任务,1013,9,203,中,区域F,80,2406,1013,不可抢占,3.3833333333333333
5621,人工智能训练任务,1757,67,290,低,区域A,150,2406,1757,不可抢占,4.833333333333333
5622,实时推理任务,1941,3,287,高,区域A,20,1946,1941,不可抢占,4.783333333333333
5623,人工智能训练任务,422,52,105,低,区域D,150,2406,422,不可抢占,1.75
5624,人工智能训练任务,2057,114,246,低,区域E,150,2406,2057,不可抢占,4.1
5625,人工智能训练任务,742,87,285,低,区域E,150,2406,742,不可抢占,4.75
5626,实时推理任务,609,2,27,高,区域C,20,610,609,不可抢占,0.45
5627,实时推理任务,493,3,29,高,区域E,20,494,493,不可抢占,0.48333333333333334
5628,实时推理任务,1643,2,89,高,区域A,20,1645,1643,不可抢占,1.4833333333333334
5629,实时推理任务,1121,2,178,高,区域A,20,1124,1121,不可抢占,2.966666666666667
5630,实时推理任务,598,3,50,高,区域B,20,599,598,不可抢占,0.8333333333333334
5631,批量推理任务,72,9,284,中,区域D,80,2406,72,不可抢占,4.733333333333333
5632,人工智能训练任务,817,29,12,低,区域E,150,2406,817,不可抢占,0.2
5633,实时推理任务,208,5,25,高,区域C,20,209,208,不可抢占,0.4166666666666667
5634,批量推理任务,1668,17,248,中,区域A,80,2406,1668,不可抢占,4.133333333333334
5635,人工智能训练任务,1255,22,143,低,区域D,150,2406,1255,不可抢占,2.3833333333333333
5636,人工智能训练任务,947,100,337,低,区域D,150,2406,947,不可抢占,5.616666666666666
5637,实时推理任务,1376,2,361,高,区域B,20,1383,1376,不可抢占,6.016666666666667
5638,批量推理任务,1962,20,206,中,区域D,80,2406,1962,不可抢占,3.433333333333333
5639,实时推理任务,2088,6,89,高,区域C,20,2090,2088,不可抢占,1.4833333333333334
5640,批量推理任务,211,10,315,中,区域F,80,2406,211,不可抢占,5.25
5641,批量推理任务,450,21,312,中,区域A,80,2406,450,不可抢占,5.2
5642,批量推理任务,1489,17,59,中,区域B,80,2406,1489,不可抢占,0.9833333333333333
5643,批量推理任务,1437,12,398,中,区域B,80,2406,1437,不可抢占,6.633333333333334
5644,人工智能训练任务,1712,90,270,低,区域E,150,2406,1712,不可抢占,4.5
5645,实时推理任务,1310,5,270,高,区域C,20,1315,1310,不可抢占,4.5
5646,实时推理任务,744,1,88,高,区域C,20,746,744,不可抢占,1.4666666666666666
5647,实时推理任务,2,3,287,高,区域A,20,7,2,不可抢占,4.783333333333333
5648,实时推理任务,1317,2,26,高,区域A,20,1318,1317,不可抢占,0.43333333333333335
5649,实时推理任务,1168,4,26,高,区域A,20,1169,1168,不可抢占,0.43333333333333335
5650,批量推理任务,1147,13,219,中,区域C,80,2406,1147,不可抢占,3.65
5651,人工智能训练任务,412,33,87,低,区域E,150,2406,412,不可抢占,1.45
5652,批量推理任务,757,19,67,中,区域E,80,2406,757,不可抢占,1.1166666666666667
5653,批量推理任务,2012,21,144,中,区域F,80,2406,2012,不可抢占,2.4
5654,批量推理任务,1369,15,78,中,区域A,80,2406,1369,不可抢占,1.3
5655,批量推理任务,456,6,118,中,区域B,80,2406,456,不可抢占,1.9666666666666666
5656,实时推理任务,55,4,141,高,区域B,20,58,55,不可抢占,2.35
5657,人工智能训练任务,2260,124,303,低,区域E,150,2406,2260,不可抢占,5.05
5658,实时推理任务,1356,4,181,高,区域C,20,1360,1356,不可抢占,3.0166666666666666
5659,批量推理任务,1480,22,129,中,区域E,80,2406,1480,不可抢占,2.15
5660,人工智能训练任务,2166,83,75,低,区域F,150,2406,2166,不可抢占,1.25
5661,人工智能训练任务,1522,28,198,低,区域C,150,2406,1522,不可抢占,3.3
5662,实时推理任务,1130,5,107,高,区域A,20,1132,1130,不可抢占,1.7833333333333334
5663,实时推理任务,2393,6,255,高,区域B,20,2398,2393,不可抢占,4.25
5664,批量推理任务,357,19,42,中,区域D,80,2406,357,不可抢占,0.7
5665,实时推理任务,534,1,347,高,区域C,20,540,534,不可抢占,5.783333333333333
5666,人工智能训练任务,492,34,322,低,区域F,150,2406,492,不可抢占,5.366666666666666
5667,实时推理任务,780,3,88,高,区域A,20,782,780,不可抢占,1.4666666666666666
5668,实时推理任务,1825,1,189,高,区域A,20,1829,1825,不可抢占,3.15
5669,实时推理任务,306,4,269,高,区域B,20,311,306,不可抢占,4.483333333333333
5670,人工智能训练任务,1404,20,117,低,区域E,150,2406,1404,不可抢占,1.95
5671,批量推理任务,1942,11,366,中,区域D,80,2406,1942,不可抢占,6.1
5672,实时推理任务,2185,5,340,高,区域C,20,2191,2185,不可抢占,5.666666666666667
5673,人工智能训练任务,629,28,197,低,区域F,150,2406,629,不可抢占,3.283333333333333
5674,实时推理任务,523,1,124,高,区域A,20,526,523,不可抢占,2.066666666666667
5675,实时推理任务,1712,4,19,高,区域A,20,1713,1712,不可抢占,0.31666666666666665
5676,人工智能训练任务,1034,86,59,低,区域D,150,2406,1034,不可抢占,0.9833333333333333
5677,人工智能训练任务,1422,59,280,低,区域E,150,2406,1422,不可抢占,4.666666666666667
5678,批量推理任务,1836,19,167,中,区域D,80,2406,1836,不可抢占,2.783333333333333
5679,人工智能训练任务,480,45,40,低,区域F,150,2406,480,不可抢占,0.6666666666666666
5680,批量推理任务,277,15,157,中,区域A,80,2406,277,不可抢占,2.6166666666666667
5681,批量推理任务,1716,20,44,中,区域A,80,2406,1716,不可抢占,0.7333333333333333
5682,人工智能训练任务,2063,38,106,低,区域D,150,2406,2063,不可抢占,1.7666666666666666
5683,实时推理任务,683,6,64,高,区域B,20,685,683,不可抢占,1.0666666666666667
5684,人工智能训练任务,1122,82,324,低,区域E,150,2406,1122,不可抢占,5.4
5685,人工智能训练任务,528,47,16,低,区域F,150,2406,528,不可抢占,0.26666666666666666
5686,批量推理任务,186,5,399,中,区域F,80,2406,186,不可抢占,6.65
5687,人工智能训练任务,249,107,115,低,区域C,150,2406,249,不可抢占,1.9166666666666667
5688,人工智能训练任务,779,51,54,低,区域D,150,2406,779,不可抢占,0.9
5689,人工智能训练任务,1628,57,18,低,区域D,150,2406,1628,不可抢占,0.3
5690,批量推理任务,2180,14,379,中,区域D,80,2406,2180,不可抢占,6.316666666666666
5691,人工智能训练任务,307,90,139,低,区域E,150,2406,307,不可抢占,2.316666666666667
5692,实时推理任务,1793,3,315,高,区域C,20,1799,1793,不可抢占,5.25
5693,人工智能训练任务,1573,50,244,低,区域A,150,2406,1573,不可抢占,4.066666666666666
5694,人工智能训练任务,1598,90,357,低,区域D,150,2406,1598,不可抢占,5.95
5695,批量推理任务,1112,23,340,中,区域B,80,2406,1112,不可抢占,5.666666666666667
5696,实时推理任务,753,3,206,高,区域B,20,757,753,不可抢占,3.433333333333333
5697,实时推理任务,655,2,375,高,区域B,20,662,655,不可抢占,6.25
5698,人工智能训练任务,892,49,203,低,区域F,150,2406,892,不可抢占,3.3833333333333333
5699,人工智能训练任务,36,33,252,低,区域F,150,2406,36,不可抢占,4.2
5700,人工智能训练任务,1865,20,136,低,区域B,150,2406,1865,不可抢占,2.2666666666666666
5701,人工智能训练任务,2150,90,297,低,区域D,150,2406,2150,不可抢占,4.95
5702,批量推理任务,1242,21,192,中,区域B,80,2406,1242,不可抢占,3.2
5703,实时推理任务,1213,4,256,高,区域B,20,1218,1213,不可抢占,4.266666666666667
5704,人工智能训练任务,1099,96,105,低,区域E,150,2406,1099,不可抢占,1.75
5705,人工智能训练任务,487,125,317,低,区域F,150,2406,487,不可抢占,5.283333333333333
5706,实时推理任务,917,4,343,高,区域A,20,923,917,不可抢占,5.716666666666667
5707,实时推理任务,2185,2,335,高,区域A,20,2191,2185,不可抢占,5.583333333333333
5708,实时推理任务,1195,6,286,高,区域A,20,1200,1195,不可抢占,4.766666666666667
5709,实时推理任务,606,4,259,高,区域B,20,611,606,不可抢占,4.316666666666666
5710,批量推理任务,544,11,269,中,区域D,80,2406,544,不可抢占,4.483333333333333
5711,批量推理任务,211,8,270,中,区域E,80,2406,211,不可抢占,4.5
5712,人工智能训练任务,1019,106,274,低,区域F,150,2406,1019,不可抢占,4.566666666666666
5713,实时推理任务,2189,7,233,高,区域A,20,2193,2189,不可抢占,3.8833333333333333
5714,实时推理任务,5,7,174,高,区域A,20,8,5,不可抢占,2.9
5715,人工智能训练任务,1423,98,143,低,区域D,150,2406,1423,不可抢占,2.3833333333333333
5716,人工智能训练任务,1511,98,101,低,区域E,150,2406,1511,不可抢占,1.6833333333333333
5717,批量推理任务,340,20,136,中,区域D,80,2406,340,不可抢占,2.2666666666666666
5718,人工智能训练任务,2249,78,344,低,区域F,150,2406,2249,不可抢占,5.733333333333333
5719,批量推理任务,547,13,96,中,区域F,80,2406,547,不可抢占,1.6
5720,批量推理任务,1207,6,396,中,区域A,80,2406,1207,不可抢占,6.6
5721,批量推理任务,234,21,116,中,区域B,80,2406,234,不可抢占,1.9333333333333333
5722,人工智能训练任务,42,35,187,低,区域D,150,2406,42,不可抢占,3.1166666666666667
5723,批量推理任务,898,18,158,中,区域D,80,2406,898,不可抢占,2.6333333333333333
5724,人工智能训练任务,1145,44,275,低,区域E,150,2406,1145,不可抢占,4.583333333333333
5725,实时推理任务,1048,5,160,高,区域C,20,1051,1048,不可抢占,2.6666666666666665
5726,实时推理任务,2201,2,141,高,区域A,20,2204,2201,不可抢占,2.35
5727,人工智能训练任务,2389,82,139,低,区域D,150,2406,2389,不可抢占,2.316666666666667
5728,实时推理任务,1564,4,88,高,区域B,20,1566,1564,不可抢占,1.4666666666666666
5729,人工智能训练任务,1054,72,207,低,区域E,150,2406,1054,不可抢占,3.45
5730,人工智能训练任务,2256,22,181,低,区域E,150,2406,2256,不可抢占,3.0166666666666666
5731,实时推理任务,1811,7,304,高,区域C,20,1817,1811,不可抢占,5.066666666666666
5732,实时推理任务,1328,3,181,高,区域E,20,1332,1328,不可抢占,3.0166666666666666
5733,批量推理任务,835,15,342,中,区域A,80,2406,835,不可抢占,5.7
5734,人工智能训练任务,1619,107,351,低,区域D,150,2406,1619,不可抢占,5.85
5735,实时推理任务,1827,6,245,高,区域B,20,1832,1827,不可抢占,4.083333333333333
5736,实时推理任务,1777,3,196,高,区域B,20,1781,1777,不可抢占,3.2666666666666666
5737,批量推理任务,607,13,328,中,区域D,80,2406,607,不可抢占,5.466666666666667
5738,批量推理任务,383,12,304,中,区域F,80,2406,383,不可抢占,5.066666666666666
5739,批量推理任务,743,12,373,中,区域A,80,2406,743,不可抢占,6.216666666666667
5740,批量推理任务,757,8,383,中,区域A,80,2406,757,不可抢占,6.383333333333334
5741,实时推理任务,773,7,273,高,区域A,20,778,773,不可抢占,4.55
5742,人工智能训练任务,2009,112,182,低,区域D,150,2406,2009,不可抢占,3.033333333333333
5743,人工智能训练任务,738,108,42,低,区域E,150,2406,738,不可抢占,0.7
5744,人工智能训练任务,1155,20,392,低,区域F,150,2406,1155,不可抢占,6.533333333333333
5745,实时推理任务,1270,2,391,高,区域E,20,1277,1270,不可抢占,6.516666666666667
5746,实时推理任务,727,4,14,高,区域A,20,728,727,不可抢占,0.23333333333333334
5747,批量推理任务,769,5,154,中,区域B,80,2406,769,不可抢占,2.566666666666667
5748,实时推理任务,587,7,357,高,区域B,20,593,587,不可抢占,5.95
5749,实时推理任务,1746,6,280,高,区域B,20,1751,1746,不可抢占,4.666666666666667
5750,实时推理任务,1863,5,251,高,区域C,20,1868,1863,不可抢占,4.183333333333334
5751,人工智能训练任务,1648,40,158,低,区域F,150,2406,1648,不可抢占,2.6333333333333333
5752,实时推理任务,2157,7,228,高,区域A,20,2161,2157,不可抢占,3.8
5753,实时推理任务,48,1,286,高,区域A,20,53,48,不可抢占,4.766666666666667
5754,人工智能训练任务,408,83,227,低,区域D,150,2406,408,不可抢占,3.783333333333333
5755,批量推理任务,1572,5,24,中,区域C,80,2406,1572,不可抢占,0.4
5756,实时推理任务,450,4,348,高,区域B,20,456,450,不可抢占,5.8
5757,实时推理任务,179,1,167,高,区域C,20,182,179,不可抢占,2.783333333333333
5758,实时推理任务,1017,5,216,高,区域E,20,1021,1017,不可抢占,3.6
5759,实时推理任务,1096,6,274,高,区域A,20,1101,1096,不可抢占,4.566666666666666
5760,实时推理任务,55,5,255,高,区域A,20,60,55,不可抢占,4.25
5761,实时推理任务,435,4,28,高,区域B,20,436,435,不可抢占,0.4666666666666667
5762,人工智能训练任务,1386,43,113,低,区域E,150,2406,1386,不可抢占,1.8833333333333333
5763,人工智能训练任务,348,124,213,低,区域E,150,2406,348,不可抢占,3.55
5764,实时推理任务,570,5,311,高,区域C,20,576,570,不可抢占,5.183333333333334
5765,批量推理任务,2305,18,280,中,区域F,80,2406,2305,不可抢占,4.666666666666667
5766,批量推理任务,668,22,119,中,区域A,80,2406,668,不可抢占,1.9833333333333334
5767,批量推理任务,1358,11,199,中,区域B,80,2406,1358,不可抢占,3.316666666666667
5768,批量推理任务,632,22,77,中,区域C,80,2406,632,不可抢占,1.2833333333333334
5769,实时推理任务,228,6,15,高,区域B,20,229,228,不可抢占,0.25
5770,人工智能训练任务,1095,72,15,低,区域F,150,2406,1095,不可抢占,0.25
5771,人工智能训练任务,2226,114,166,低,区域F,150,2406,2226,不可抢占,2.7666666666666666
5772,实时推理任务,86,3,396,高,区域A,20,93,86,不可抢占,6.6
5773,实时推理任务,421,4,379,高,区域A,20,428,421,不可抢占,6.316666666666666
5774,人工智能训练任务,1215,112,345,低,区域D,150,2406,1215,不可抢占,5.75
5775,实时推理任务,2095,3,298,高,区域B,20,2100,2095,不可抢占,4.966666666666667
5776,批量推理任务,580,7,149,中,区域D,80,2406,580,不可抢占,2.4833333333333334
5777,实时推理任务,918,1,22,高,区域C,20,919,918,不可抢占,0.36666666666666664
5778,实时推理任务,928,4,361,高,区域F,20,935,928,不可抢占,6.016666666666667
5779,批量推理任务,1578,19,118,中,区域A,80,2406,1578,不可抢占,1.9666666666666666
5780,实时推理任务,1447,5,376,高,区域A,20,1454,1447,不可抢占,6.266666666666667
5781,人工智能训练任务,1174,91,30,低,区域D,150,2406,1174,不可抢占,0.5
5782,实时推理任务,1575,4,30,高,区域B,20,1576,1575,不可抢占,0.5
5783,人工智能训练任务,460,122,254,低,区域E,150,2406,460,不可抢占,4.233333333333333
5784,批量推理任务,694,9,85,中,区域F,80,2406,694,不可抢占,1.4166666666666667
5785,实时推理任务,919,2,399,高,区域A,20,926,919,不可抢占,6.65
5786,实时推理任务,1154,1,299,高,区域A,20,1159,1154,不可抢占,4.983333333333333
5787,批量推理任务,312,14,199,中,区域B,80,2406,312,不可抢占,3.316666666666667
5788,人工智能训练任务,1366,21,200,低,区域E,150,2406,1366,不可抢占,3.3333333333333335
5789,实时推理任务,1476,4,267,高,区域C,20,1481,1476,不可抢占,4.45
