到达小时,图形处理器总需求,任务数,数据集
1354,737,22,训练集
1355,664,22,训练集
1356,862,26,训练集
1357,899,26,训练集
1358,535,18,训练集
1359,758,21,训练集
1360,609,21,训练集
1361,507,18,训练集
1362,463,17,训练集
1363,540,25,训练集
1364,617,18,训练集
1365,512,19,训练集
1366,708,26,训练集
1367,648,16,训练集
1368,671,21,训练集
1369,663,25,训练集
1370,774,19,训练集
1371,1120,25,训练集
1372,593,22,训练集
1373,488,15,训练集
1374,756,21,训练集
1375,753,17,训练集
1376,475,19,训练集
1377,846,28,训练集
1378,614,21,训练集
1379,688,31,训练集
1380,296,12,训练集
1381,605,31,训练集
1382,574,22,训练集
1383,786,18,训练集
1384,1235,28,训练集
1385,520,18,训练集
1386,557,19,训练集
1387,531,18,训练集
1388,339,23,训练集
1389,505,18,训练集
1390,727,21,训练集
1391,437,15,训练集
1392,624,20,训练集
1393,653,27,训练集
1394,301,17,训练集
1395,643,20,训练集
1396,481,16,训练集
1397,593,17,训练集
1398,597,24,训练集
1399,792,23,训练集
1400,445,11,训练集
1401,435,18,训练集
1402,419,19,训练集
1403,602,20,训练集
1404,705,21,训练集
1405,486,16,训练集
1406,736,24,训练集
1407,412,14,训练集
1408,227,24,训练集
1409,645,20,训练集
1410,574,25,训练集
1411,461,22,训练集
1412,752,22,训练集
1413,464,18,训练集
1414,850,27,训练集
1415,325,14,训练集
1416,449,20,训练集
1417,438,12,训练集
1418,814,28,训练集
1419,444,20,训练集
1420,465,17,训练集
1421,526,22,训练集
1422,335,18,训练集
1423,737,23,训练集
1424,517,21,训练集
1425,684,16,训练集
1426,558,20,训练集
1427,547,18,训练集
1428,639,17,训练集
1429,304,18,训练集
1430,392,16,训练集
1431,589,19,训练集
1432,552,17,训练集
1433,749,21,训练集
1434,233,17,训练集
1435,275,11,训练集
1436,612,16,训练集
1437,407,18,训练集
1438,568,20,训练集
1439,503,17,训练集
1440,542,19,训练集
1441,587,19,训练集
1442,501,14,训练集
1443,646,17,训练集
1444,756,27,训练集
1445,906,18,训练集
1446,523,23,训练集
1447,165,12,训练集
1448,336,16,训练集
1449,916,29,训练集
1450,491,14,训练集
1451,375,15,训练集
1452,533,20,训练集
1453,411,22,训练集
1454,718,21,训练集
1455,356,18,训练集
1456,556,20,训练集
1457,743,22,训练集
1458,764,22,训练集
1459,258,22,训练集
1460,481,23,训练集
1461,389,16,训练集
1462,710,19,训练集
1463,890,16,训练集
1464,571,19,训练集
1465,423,20,训练集
1466,703,27,训练集
1467,909,22,训练集
1468,911,19,训练集
1469,667,24,训练集
1470,724,19,训练集
1471,610,18,训练集
1472,706,26,训练集
1473,643,16,训练集
1474,777,25,训练集
1475,462,24,训练集
1476,738,35,训练集
1477,678,29,训练集
1478,268,12,训练集
1479,517,20,训练集
1480,312,19,训练集
1481,761,24,训练集
1482,665,20,训练集
1483,628,25,训练集
1484,545,23,训练集
1485,299,19,训练集
1486,503,17,训练集
1487,648,23,训练集
1488,750,23,训练集
1489,778,23,训练集
1490,615,29,训练集
1491,506,19,训练集
1492,1036,23,训练集
1493,698,22,训练集
1494,328,16,训练集
1495,573,23,训练集
1496,949,21,训练集
1497,859,18,训练集
1498,734,21,训练集
1499,629,19,训练集
1500,544,21,训练集
1501,312,14,训练集
1502,503,16,训练集
1503,568,18,训练集
1504,594,14,训练集
1505,593,22,训练集
1506,398,18,训练集
1507,826,26,训练集
1508,863,23,训练集
1509,719,25,训练集
1510,536,13,训练集
1511,1300,25,训练集
1512,822,18,训练集
1513,350,15,训练集
1514,430,21,训练集
1515,663,24,训练集
1516,471,15,训练集
1517,701,24,训练集
1518,515,18,训练集
1519,1029,30,训练集
1520,434,14,训练集
1521,414,19,训练集
1522,864,19,训练集
1523,353,14,训练集
1524,696,20,训练集
1525,276,18,训练集
1526,586,15,训练集
1527,702,26,训练集
1528,1262,34,训练集
1529,367,19,训练集
1530,578,27,训练集
1531,661,20,训练集
1532,880,25,训练集
1533,337,19,训练集
1534,430,21,训练集
1535,237,16,训练集
1536,632,20,训练集
1537,999,24,训练集
1538,450,13,训练集
1539,548,26,训练集
1540,597,21,训练集
1541,1042,27,训练集
1542,461,19,训练集
1543,659,24,训练集
1544,716,25,训练集
1545,421,25,训练集
1546,1255,26,训练集
1547,550,26,训练集
1548,208,17,训练集
1549,372,11,训练集
1550,552,24,训练集
1551,493,21,训练集
1552,432,15,训练集
1553,501,17,训练集
1554,264,12,训练集
1555,709,28,训练集
1556,1083,27,训练集
1557,926,24,训练集
1558,651,23,训练集
1559,652,24,训练集
1560,680,19,训练集
1561,872,27,训练集
1562,820,27,训练集
1563,385,16,训练集
1564,492,22,训练集
1565,515,15,训练集
1566,444,23,训练集
1567,524,21,训练集
1568,538,17,训练集
1569,670,20,训练集
1570,627,19,训练集
1571,327,20,训练集
1572,483,26,训练集
1573,616,25,训练集
1574,1236,27,训练集
1575,247,17,训练集
1576,557,25,训练集
1577,385,18,训练集
1578,687,28,训练集
1579,541,21,训练集
1580,562,17,训练集
1581,536,16,训练集
1582,956,27,训练集
1583,572,19,训练集
1584,564,19,训练集
1585,597,20,训练集
1586,742,23,训练集
1587,594,33,训练集
1588,571,23,训练集
1589,356,16,训练集
1590,616,21,训练集
1591,582,20,训练集
1592,679,18,训练集
1593,733,28,训练集
1594,1035,21,训练集
1595,872,21,训练集
1596,928,25,训练集
1597,908,26,训练集
1598,960,22,训练集
1599,1234,27,训练集
1600,677,22,训练集
1601,239,19,训练集
1602,462,23,训练集
1603,302,16,训练集
1604,605,19,训练集
1605,813,20,训练集
1606,538,19,训练集
1607,506,21,训练集
1608,745,20,训练集
1609,808,31,训练集
1610,729,19,训练集
1611,687,27,训练集
1612,545,14,训练集
1613,799,20,训练集
1614,733,19,训练集
1615,643,18,训练集
1616,576,25,训练集
1617,941,24,训练集
1618,690,24,训练集
1619,629,17,训练集
1620,218,19,训练集
1621,265,21,训练集
1622,611,21,训练集
1623,343,25,训练集
1624,610,21,训练集
1625,454,26,训练集
1626,515,22,训练集
1627,542,21,训练集
1628,936,22,训练集
1629,915,27,训练集
1630,664,26,训练集
1631,883,21,训练集
1632,770,21,训练集
1633,314,11,训练集
1634,804,25,训练集
1635,1025,23,训练集
1636,312,13,训练集
1637,416,21,训练集
1638,278,18,训练集
1639,1152,35,训练集
1640,379,16,训练集
1641,823,25,训练集
1642,428,17,训练集
1643,251,18,训练集
1644,848,32,训练集
1645,835,25,训练集
1646,781,22,训练集
1647,532,20,训练集
1648,464,18,训练集
1649,521,18,训练集
1650,794,26,训练集
1651,761,23,训练集
1652,698,25,训练集
1653,567,17,训练集
1654,798,22,训练集
1655,864,29,训练集
1656,732,26,训练集
1657,1140,26,训练集
1658,507,20,训练集
1659,725,23,训练集
1660,850,24,训练集
1661,256,17,训练集
1662,526,20,训练集
1663,638,24,训练集
1664,841,26,训练集
1665,429,21,训练集
1666,357,13,训练集
1667,938,30,训练集
1668,393,22,训练集
1669,741,22,训练集
1670,551,22,训练集
1671,744,27,训练集
1672,606,17,训练集
1673,699,27,训练集
1674,473,19,训练集
1675,289,14,训练集
1676,684,21,训练集
1677,402,18,训练集
1678,748,22,训练集
1679,416,21,训练集
1680,465,18,训练集
1681,572,19,训练集
1682,639,26,训练集
1683,755,28,训练集
1684,875,27,训练集
1685,634,16,训练集
1686,609,19,训练集
1687,713,20,训练集
1688,839,17,训练集
1689,518,19,训练集
1690,569,24,训练集
1691,1202,28,训练集
1692,1020,29,训练集
1693,376,15,训练集
1694,686,23,训练集
1695,931,26,训练集
1696,507,22,训练集
1697,731,25,训练集
1698,755,19,训练集
1699,397,19,训练集
1700,353,21,训练集
1701,629,24,训练集
1702,681,21,训练集
1703,515,19,训练集
1704,327,17,训练集
1705,708,19,训练集
1706,545,23,训练集
1707,937,23,训练集
1708,414,14,训练集
1709,831,18,训练集
1710,714,27,训练集
1711,455,18,训练集
1712,694,18,训练集
1713,820,20,训练集
1714,694,24,训练集
1715,908,25,训练集
1716,405,20,训练集
1717,698,28,训练集
1718,505,22,训练集
1719,579,21,训练集
1720,318,21,训练集
1721,407,17,训练集
1722,985,21,训练集
1723,844,17,训练集
1724,395,23,训练集
1725,630,17,训练集
1726,379,13,训练集
1727,964,24,训练集
1728,659,23,训练集
1729,359,18,训练集
1730,769,23,训练集
1731,647,18,训练集
1732,705,22,训练集
1733,767,25,训练集
1734,454,23,训练集
1735,394,22,训练集
1736,681,24,训练集
1737,1280,30,训练集
1738,512,17,训练集
1739,250,15,训练集
1740,643,16,训练集
1741,593,18,训练集
1742,457,12,训练集
1743,587,25,训练集
1744,547,18,训练集
1745,555,17,训练集
1746,703,24,训练集
1747,802,22,训练集
1748,453,15,训练集
1749,761,24,训练集
1750,524,17,训练集
1751,636,12,训练集
1752,539,21,训练集
1753,434,19,训练集
1754,541,20,训练集
1755,690,26,训练集
1756,769,19,训练集
1757,547,20,训练集
1758,1053,29,训练集
1759,555,20,训练集
1760,342,18,训练集
1761,770,17,训练集
1762,122,8,训练集
1763,1017,25,训练集
1764,1109,25,训练集
1765,457,24,训练集
1766,472,21,训练集
1767,671,25,训练集
1768,910,20,训练集
1769,549,23,训练集
1770,475,26,训练集
1771,790,25,训练集
1772,749,24,训练集
1773,203,13,训练集
1774,583,15,训练集
1775,952,27,训练集
1776,1018,32,训练集
1777,758,20,训练集
1778,592,24,训练集
1779,917,24,训练集
1780,613,21,训练集
1781,485,13,训练集
1782,952,25,训练集
1783,841,21,训练集
1784,428,17,训练集
1785,316,16,训练集
1786,652,21,训练集
1787,351,16,训练集
1788,637,18,训练集
1789,778,24,训练集
1790,417,14,训练集
1791,145,15,训练集
1792,939,29,训练集
1793,773,22,训练集
1794,510,19,训练集
1795,396,18,训练集
1796,540,22,训练集
1797,427,23,训练集
1798,725,35,训练集
1799,416,16,训练集
1800,694,24,训练集
1801,613,27,训练集
1802,648,24,训练集
1803,822,18,训练集
1804,309,17,训练集
1805,554,16,训练集
1806,403,16,训练集
1807,883,26,训练集
1808,593,19,训练集
1809,455,16,训练集
1810,639,21,训练集
1811,966,28,训练集
1812,620,29,训练集
1813,1270,31,训练集
1814,595,25,训练集
1815,144,16,训练集
1816,605,23,训练集
1817,769,29,训练集
1818,642,24,训练集
1819,804,17,训练集
1820,760,20,训练集
1821,1172,31,训练集
1822,879,25,训练集
1823,1038,29,训练集
1824,644,20,训练集
1825,343,18,训练集
1826,297,21,训练集
1827,532,20,训练集
1828,424,14,训练集
1829,772,21,训练集
1830,353,17,训练集
1831,563,17,训练集
1832,993,27,训练集
1833,697,21,训练集
1834,798,18,训练集
1835,454,19,训练集
1836,389,17,训练集
1837,558,18,训练集
1838,1254,25,训练集
1839,241,23,训练集
1840,323,17,训练集
1841,643,23,训练集
1842,656,20,训练集
1843,269,15,训练集
1844,549,21,训练集
1845,1011,22,训练集
1846,504,15,训练集
1847,604,21,训练集
1848,558,17,训练集
1849,889,28,训练集
1850,457,19,训练集
1851,873,34,训练集
1852,751,18,训练集
1853,591,19,训练集
1854,461,19,训练集
1855,479,23,训练集
1856,565,19,训练集
1857,555,25,训练集
1858,523,26,训练集
1859,733,28,训练集
1860,466,22,训练集
1861,526,21,训练集
1862,312,15,训练集
1863,518,23,训练集
1864,332,14,训练集
1865,570,18,训练集
1866,772,22,训练集
1867,591,20,训练集
1868,899,25,训练集
1869,802,24,训练集
1870,748,27,训练集
1871,388,20,训练集
1872,188,16,训练集
1873,739,16,训练集
1874,920,23,训练集
1875,659,21,训练集
1876,807,21,训练集
1877,692,23,训练集
1878,435,21,训练集
1879,638,18,训练集
1880,675,22,训练集
1881,210,14,训练集
1882,897,24,训练集
1883,706,15,训练集
1884,686,21,训练集
1885,450,16,训练集
1886,493,19,训练集
1887,423,19,训练集
1888,801,29,训练集
1889,647,24,训练集
1890,375,16,训练集
1891,548,26,训练集
1892,562,26,训练集
1893,453,14,训练集
1894,300,19,训练集
1895,300,18,训练集
1896,867,29,训练集
1897,571,18,训练集
1898,348,14,训练集
1899,389,15,训练集
1900,703,20,训练集
1901,506,23,训练集
1902,353,15,训练集
1903,562,30,训练集
1904,378,21,训练集
1905,478,17,训练集
1906,337,17,训练集
1907,319,18,训练集
1908,596,19,训练集
1909,891,23,训练集
1910,401,19,训练集
1911,695,19,训练集
1912,635,25,训练集
1913,369,17,训练集
1914,777,25,训练集
1915,463,19,训练集
1916,186,13,训练集
1917,811,25,训练集
1918,801,25,训练集
1919,741,18,训练集
1920,430,22,训练集
1921,785,19,训练集
1922,702,18,训练集
1923,692,20,训练集
1924,893,29,训练集
1925,640,19,训练集
1926,933,20,训练集
1927,612,18,训练集
1928,585,27,训练集
1929,691,19,训练集
1930,399,17,训练集
1931,569,17,训练集
1932,484,17,训练集
1933,549,16,训练集
1934,1051,34,训练集
1935,757,26,训练集
1936,328,11,训练集
1937,694,20,训练集
1938,292,16,训练集
1939,1286,27,训练集
1940,372,23,训练集
1941,616,23,训练集
1942,640,22,训练集
1943,574,23,训练集
1944,861,26,训练集
1945,658,21,训练集
1946,591,21,训练集
1947,144,11,训练集
1948,1135,30,训练集
1949,454,21,训练集
1950,437,20,训练集
1951,682,20,训练集
1952,842,28,训练集
1953,526,24,训练集
1954,601,16,训练集
1955,633,17,训练集
1956,517,21,训练集
1957,374,11,训练集
1958,340,26,训练集
1959,920,25,训练集
1960,686,21,训练集
1961,963,31,训练集
1962,943,19,训练集
1963,284,10,训练集
1964,751,17,训练集
1965,547,15,训练集
1966,753,23,训练集
1967,608,20,训练集
1968,786,23,训练集
1969,832,19,训练集
1970,408,16,训练集
1971,367,21,训练集
1972,440,13,训练集
1973,195,11,训练集
1974,915,20,训练集
1975,781,22,训练集
1976,560,22,训练集
1977,457,18,训练集
1978,842,21,训练集
1979,788,24,训练集
1980,670,23,训练集
1981,834,24,训练集
1982,564,20,训练集
1983,818,26,训练集
1984,810,23,训练集
1985,431,16,训练集
1986,452,19,训练集
1987,729,18,训练集
1988,489,21,训练集
1989,658,17,训练集
1990,514,27,训练集
1991,894,22,训练集
1992,550,20,训练集
1993,546,22,训练集
1994,677,23,训练集
1995,357,16,训练集
1996,336,22,训练集
1997,318,15,训练集
1998,564,21,训练集
1999,649,24,训练集
2000,435,19,训练集
2001,685,16,训练集
2002,440,19,训练集
2003,671,20,训练集
2004,632,18,训练集
2005,496,17,训练集
2006,658,19,训练集
2007,959,30,训练集
2008,710,20,训练集
2009,847,25,训练集
2010,1145,27,训练集
2011,816,31,训练集
2012,731,23,训练集
2013,1205,32,训练集
2014,772,23,训练集
2015,929,29,训练集
2016,551,15,训练集
2017,623,20,训练集
2018,925,21,训练集
2019,1018,20,训练集
2020,561,15,训练集
2021,1031,23,训练集
2022,308,15,训练集
2023,721,23,训练集
2024,828,27,训练集
2025,498,19,训练集
2026,625,17,训练集
2027,683,21,训练集
2028,880,27,训练集
2029,771,29,训练集
2030,356,20,训练集
2031,566,20,训练集
2032,357,20,训练集
2033,522,21,训练集
2034,478,20,训练集
2035,632,24,训练集
2036,246,13,训练集
2037,781,21,训练集
2038,838,19,训练集
2039,790,23,训练集
2040,822,23,训练集
2041,379,12,训练集
2042,241,14,训练集
2043,449,21,训练集
2044,415,21,训练集
2045,668,18,训练集
2046,987,30,训练集
2047,427,18,训练集
2048,731,25,训练集
2049,738,18,训练集
2050,371,27,训练集
2051,397,16,训练集
2052,764,22,训练集
2053,474,22,训练集
2054,165,15,训练集
2055,809,24,训练集
2056,792,28,训练集
2057,785,33,训练集
2058,504,18,训练集
2059,578,19,训练集
2060,583,19,训练集
2061,512,25,训练集
2062,460,19,训练集
2063,1090,28,训练集
2064,577,18,训练集
2065,672,19,训练集
2066,866,22,训练集
2067,561,19,训练集
2068,788,25,训练集
2069,422,17,训练集
2070,440,19,训练集
2071,326,16,训练集
2072,574,18,训练集
2073,548,18,训练集
2074,814,21,训练集
2075,297,14,训练集
2076,876,27,训练集
2077,593,28,训练集
2078,925,26,训练集
2079,481,24,训练集
2080,437,20,训练集
2081,995,22,训练集
2082,431,18,训练集
2083,682,26,训练集
2084,658,22,训练集
2085,394,14,训练集
2086,473,18,训练集
2087,712,24,训练集
2088,686,20,训练集
2089,944,19,训练集
2090,560,19,训练集
2091,669,22,训练集
2092,989,28,训练集
2093,706,24,训练集
2094,997,31,训练集
2095,753,26,训练集
2096,635,16,训练集
2097,922,22,训练集
2098,431,15,训练集
2099,622,27,训练集
2100,469,14,训练集
2101,443,14,训练集
2102,275,20,训练集
2103,426,18,训练集
2104,364,16,训练集
2105,477,20,训练集
2106,628,22,训练集
2107,404,14,训练集
2108,671,22,训练集
2109,544,24,训练集
2110,475,17,训练集
2111,760,22,训练集
2112,406,15,训练集
2113,281,15,训练集
2114,756,19,训练集
2115,554,15,训练集
2116,942,19,训练集
2117,1043,25,训练集
2118,654,17,训练集
2119,589,21,训练集
2120,691,23,训练集
2121,624,18,训练集
2122,500,16,训练集
2123,295,20,训练集
2124,246,11,训练集
2125,715,21,训练集
2126,420,15,训练集
2127,533,23,训练集
2128,717,26,训练集
2129,741,23,训练集
2130,532,18,训练集
2131,444,15,训练集
2132,919,27,训练集
2133,397,20,训练集
2134,533,24,训练集
2135,528,22,训练集
2136,181,11,训练集
2137,878,27,训练集
2138,868,20,训练集
2139,994,24,训练集
2140,874,20,训练集
2141,552,19,训练集
2142,423,17,训练集
2143,989,23,训练集
2144,391,16,训练集
2145,618,25,训练集
2146,758,18,训练集
2147,252,14,训练集
2148,979,27,训练集
2149,942,26,训练集
2150,670,19,训练集
2151,693,21,训练集
2152,510,19,训练集
2153,385,17,训练集
2154,378,19,训练集
2155,784,19,训练集
2156,552,24,训练集
2157,560,17,训练集
2158,540,18,训练集
2159,382,16,训练集
2160,488,15,训练集
2161,538,20,训练集
2162,262,18,训练集
2163,725,23,训练集
2164,518,20,训练集
2165,466,18,训练集
2166,746,22,训练集
2167,647,21,训练集
2168,1093,19,训练集
2169,596,20,训练集
2170,365,16,训练集
2171,164,15,训练集
2172,552,22,训练集
2173,670,25,训练集
2174,992,27,训练集
2175,774,20,训练集
2176,279,15,训练集
2177,430,19,训练集
2178,698,18,训练集
2179,281,14,训练集
2180,600,17,训练集
2181,458,20,训练集
2182,683,26,训练集
2183,648,24,训练集
2184,865,24,训练集
2185,811,24,训练集
2186,748,16,训练集
2187,634,29,训练集
2188,746,24,训练集
2189,425,25,训练集
2190,785,20,训练集
2191,690,23,训练集
2192,1088,22,训练集
2193,811,22,训练集
2194,564,21,训练集
2195,345,14,训练集
2196,1038,27,训练集
2197,667,23,训练集
2198,421,16,训练集
2199,557,23,训练集
2200,440,22,训练集
2201,890,27,训练集
2202,511,22,训练集
2203,919,24,训练集
2204,590,21,训练集
2205,880,16,训练集
2206,605,23,训练集
2207,667,26,训练集
2208,728,21,训练集
2209,417,14,训练集
2210,755,21,训练集
2211,788,24,训练集
2212,1271,26,训练集
2213,502,18,训练集
2214,227,20,训练集
2215,711,24,训练集
2216,381,14,训练集
2217,1102,29,训练集
2218,383,18,训练集
2219,1180,25,训练集
2220,702,21,训练集
2221,432,16,训练集
2222,350,13,训练集
2223,714,21,训练集
2224,596,18,训练集
2225,724,30,训练集
2226,655,23,训练集
2227,387,11,训练集
2228,333,19,训练集
2229,739,17,训练集
2230,575,24,训练集
2231,659,19,训练集
2232,323,18,训练集
2233,523,14,训练集
2234,871,24,训练集
2235,448,24,训练集
2236,906,29,训练集
2237,900,32,训练集
2238,733,20,训练集
2239,805,23,训练集
2240,504,18,训练集
2241,545,23,训练集
2242,454,20,训练集
2243,434,15,训练集
2244,945,29,训练集
2245,655,22,训练集
2246,628,19,训练集
2247,584,19,训练集
2248,465,20,训练集
2249,677,13,训练集
2250,445,16,训练集
2251,469,21,训练集
2252,332,17,训练集
2253,504,23,训练集
2254,383,20,训练集
2255,903,27,训练集
2256,621,21,训练集
2257,548,18,训练集
2258,697,22,训练集
2259,619,24,训练集
2260,486,19,训练集
2261,813,24,训练集
2262,459,20,训练集
2263,478,22,训练集
2264,452,19,训练集
2265,335,15,训练集
2266,798,23,训练集
2267,659,22,训练集
2268,642,23,训练集
2269,453,20,训练集
2270,704,21,训练集
2271,417,21,训练集
2272,725,26,训练集
2273,356,12,训练集
2274,407,24,训练集
2275,525,23,训练集
2276,851,22,训练集
2277,793,22,训练集
2278,564,20,训练集
2279,760,22,训练集
2280,1004,25,训练集
2281,665,21,训练集
2282,567,23,训练集
2283,567,23,训练集
2284,518,17,训练集
2285,678,29,训练集
2286,465,19,训练集
2287,920,26,训练集
2288,577,23,训练集
2289,438,24,训练集
2290,353,19,训练集
2291,628,22,训练集
2292,348,14,训练集
2293,389,13,训练集
2294,955,32,训练集
2295,796,23,训练集
2296,519,16,训练集
2297,1194,32,训练集
2298,255,17,训练集
2299,651,21,训练集
2300,697,22,训练集
2301,649,24,训练集
2302,317,20,训练集
2303,436,16,训练集
2304,332,16,训练集
2305,718,21,训练集
2306,790,28,训练集
2307,576,22,训练集
2308,1114,28,训练集
2309,573,22,训练集
2310,336,13,训练集
2311,356,12,训练集
2312,630,22,训练集
2313,349,12,训练集
2314,1095,23,训练集
2315,746,24,训练集
2316,404,19,训练集
2317,807,21,训练集
2318,591,18,训练集
2319,797,21,训练集
2320,636,14,训练集
2321,622,18,训练集
2322,451,18,训练集
2323,397,20,训练集
2324,438,18,训练集
2325,331,23,训练集
2326,786,21,训练集
2327,782,24,训练集
2328,836,23,训练集
2329,366,22,训练集
2330,671,16,训练集
2331,372,18,训练集
2332,616,23,训练集
2333,320,11,训练集
2334,371,14,训练集
2335,474,21,训练集
2336,660,26,训练集
2337,568,27,训练集
2338,560,23,训练集
2339,743,27,训练集
2340,1081,29,训练集
2341,741,27,训练集
2342,537,21,训练集
2343,541,19,训练集
2344,818,24,训练集
2345,716,33,训练集
2346,562,19,训练集
2347,411,18,训练集
2348,654,23,训练集
2349,531,22,训练集
2350,1308,29,训练集
2351,720,25,训练集
2352,519,18,调参集
2353,535,18,调参集
2354,419,16,调参集
2355,535,25,调参集
2356,757,26,调参集
2357,410,24,调参集
2358,727,23,调参集
2359,828,21,调参集
2360,864,25,调参集
2361,973,25,调参集
2362,432,20,调参集
2363,313,13,调参集
2364,458,20,调参集
2365,397,21,调参集
2366,509,18,调参集
2367,663,26,调参集
2368,643,22,调参集
2369,887,19,调参集
2370,381,15,调参集
2371,726,22,调参集
2372,498,22,调参集
2373,506,20,调参集
2374,717,20,调参集
2375,437,20,调参集
2376,473,19,测试集
2377,1092,28,测试集
2378,923,21,测试集
2379,662,16,测试集
2380,869,19,测试集
2381,786,21,测试集
2382,461,21,测试集
2383,674,22,测试集
2384,536,17,测试集
2385,732,22,测试集
2386,646,27,测试集
2387,994,31,测试集
2388,669,23,测试集
2389,594,17,测试集
2390,1049,24,测试集
2391,781,27,测试集
2392,723,23,测试集
2393,358,18,测试集
2394,987,26,测试集
2395,733,19,测试集
2396,722,29,测试集
2397,573,22,测试集
2398,867,27,测试集
2399,545,19,测试集
