到达小时,图形处理器总需求,任务数
2125,715,21
2126,420,15
2127,533,23
2128,717,26
2129,741,23
2130,532,18
2131,444,15
2132,919,27
2133,397,20
2134,533,24
2135,528,22
2136,181,11
2137,878,27
2138,868,20
2139,994,24
2140,874,20
2141,552,19
2142,423,17
2143,989,23
2144,391,16
2145,618,25
2146,758,18
2147,252,14
2148,979,27
2149,942,26
2150,670,19
2151,693,21
2152,510,19
2153,385,17
2154,378,19
2155,784,19
2156,552,24
2157,560,17
2158,540,18
2159,382,16
2160,488,15
2161,538,20
2162,262,18
2163,725,23
2164,518,20
2165,466,18
2166,746,22
2167,647,21
2168,1093,19
2169,596,20
2170,365,16
2171,164,15
2172,552,22
2173,670,25
2174,992,27
2175,774,20
2176,279,15
2177,430,19
2178,698,18
2179,281,14
2180,600,17
2181,458,20
2182,683,26
2183,648,24
2184,865,24
2185,811,24
2186,748,16
2187,634,29
2188,746,24
2189,425,25
2190,785,20
2191,690,23
2192,1088,22
2193,811,22
2194,564,21
2195,345,14
2196,1038,27
2197,667,23
2198,421,16
2199,557,23
2200,440,22
2201,890,27
2202,511,22
2203,919,24
2204,590,21
2205,880,16
2206,605,23
2207,667,26
2208,728,21
2209,417,14
2210,755,21
2211,788,24
2212,1271,26
2213,502,18
2214,227,20
2215,711,24
2216,381,14
2217,1102,29
2218,383,18
2219,1180,25
2220,702,21
2221,432,16
2222,350,13
2223,714,21
2224,596,18
2225,724,30
2226,655,23
2227,387,11
2228,333,19
2229,739,17
2230,575,24
2231,659,19
2232,323,18
2233,523,14
2234,871,24
2235,448,24
2236,906,29
2237,900,32
2238,733,20
2239,805,23
2240,504,18
2241,545,23
2242,454,20
2243,434,15
2244,945,29
2245,655,22
2246,628,19
2247,584,19
2248,465,20
2249,677,13
2250,445,16
2251,469,21
2252,332,17
2253,504,23
2254,383,20
2255,903,27
2256,621,21
2257,548,18
2258,697,22
2259,619,24
2260,486,19
2261,813,24
2262,459,20
2263,478,22
2264,452,19
2265,335,15
2266,798,23
2267,659,22
2268,642,23
2269,453,20
2270,704,21
2271,417,21
2272,725,26
2273,356,12
2274,407,24
2275,525,23
2276,851,22
2277,793,22
2278,564,20
2279,760,22
2280,1004,25
2281,665,21
2282,567,23
2283,567,23
2284,518,17
2285,678,29
2286,465,19
2287,920,26
2288,577,23
2289,438,24
2290,353,19
2291,628,22
2292,348,14
2293,389,13
2294,955,32
2295,796,23
2296,519,16
2297,1194,32
2298,255,17
2299,651,21
2300,697,22
2301,649,24
2302,317,20
2303,436,16
2304,332,16
2305,718,21
2306,790,28
2307,576,22
2308,1114,28
2309,573,22
2310,336,13
2311,356,12
2312,630,22
2313,349,12
2314,1095,23
2315,746,24
2316,404,19
2317,807,21
2318,591,18
2319,797,21
2320,636,14
2321,622,18
2322,451,18
2323,397,20
2324,438,18
2325,331,23
2326,786,21
2327,782,24
2328,836,23
2329,366,22
2330,671,16
2331,372,18
2332,616,23
2333,320,11
2334,371,14
2335,474,21
2336,660,26
2337,568,27
2338,560,23
2339,743,27
2340,1081,29
2341,741,27
2342,537,21
2343,541,19
2344,818,24
2345,716,33
2346,562,19
2347,411,18
2348,654,23
2349,531,22
2350,1308,29
2351,720,25
2352,519,18
2353,535,18
2354,419,16
2355,535,25
2356,757,26
2357,410,24
2358,727,23
2359,828,21
2360,864,25
2361,973,25
2362,432,20
2363,313,13
2364,458,20
2365,397,21
2366,509,18
2367,663,26
2368,643,22
2369,887,19
2370,381,15
2371,726,22
2372,498,22
2373,506,20
2374,717,20
2375,437,20
2376,473,19
2377,1092,28
2378,923,21
2379,662,16
2380,869,19
2381,786,21
2382,461,21
2383,674,22
2384,536,17
2385,732,22
2386,646,27
2387,994,31
2388,669,23
2389,594,17
2390,1049,24
2391,781,27
2392,723,23
2393,358,18
2394,987,26
2395,733,19
2396,722,29
2397,573,22
2398,867,27
2399,545,19
