调度时段编号,区域编号,电价时段,购电价格,售电价格,碳强度,人工智能训练任务功率,图形处理器利用率,可用新能源出力,直接消纳新能源,新能源充电功率,弃风弃光功率,信息技术侧负荷,设施侧总负荷,电网购电功率,电网充电功率,外送售电功率,净购电功率,碳排放量,需求响应等级,储能荷电状态,储能充电功率,储能放电功率,基准人工智能信息技术负荷,非人工智能信息技术负荷,数据时段
233,区域A,峰,1075.15,0.0,0.6073,30.368,36.71164,722.35,44.064,0.0,678.286,231.14,312.039,222.975,0.0,0.0,222.975,135.4127,中,301.087,0.0,45.0,34.1466666667,196.993333,主时域0_2399
233,区域B,峰,1030.35,0.0,0.5681,28.64,46.179487,722.35,54.3613,0.0,667.9887,235.19,317.5065,222.6452,0.0,0.0,222.6452,126.4847,中,275.9783,0.0,40.5,37.0016666667,198.188333,主时域0_2399
233,区域C,峰,1000.48,0.0,0.5388,30.88,46.209877,722.35,66.1781,0.0,656.1719,238.33,328.8954,224.4673,0.0,0.0,224.4673,120.943,中,258.4239,0.0,38.25,36.3153333333,202.014667,主时域0_2399
233,区域D,峰,642.1,500.84,0.4114,48.5946666667,28.866621,722.35,134.1989,0.0,408.1511,254.96,326.3488,10.1499,0.0,180.0,-169.8501,4.1757,中,704.3011,0.0,182.0,60.4546666667,194.505333,主时域0_2399
233,区域E,峰,567.44,442.6,0.2155,90.336,60.652174,722.35,158.4014,0.0,343.9486,212.41,265.5125,0.0,0.0,220.0,-220.0,0.0,中,704.8268,0.0,107.1111,95.116,117.294,主时域0_2399
233,区域F,峰,597.3,465.89,0.2547,94.7973333333,63.486888,722.35,148.3634,0.0,353.9866,225.71,286.6517,0.0,0.0,220.0,-220.0,0.0,中,701.3028,0.0,138.2883,96.7173333333,128.992667,主时域0_2399
234,区域A,峰,1074.77,0.0,0.6188,25.6213333333,33.955026,650.0,46.3152,0.0,603.6848,254.13,343.0755,251.7603,0.0,0.0,251.7603,155.7893,中,252.1739,0.0,45.0,30.739,223.391,主时域0_2399
234,区域B,峰,1029.99,0.0,0.5788,12.5546666667,29.794872,650.0,49.7223,0.0,600.2777,223.22,301.347,211.1247,0.0,0.0,211.1247,122.199,中,231.9565,0.0,40.5,21.524,201.696,主时域0_2399
234,区域C,峰,1000.14,0.0,0.5489,30.88,47.222222,650.0,60.6632,0.0,589.3368,225.43,311.0934,212.1802,0.0,0.0,212.1802,116.4657,中,216.8478,0.0,38.25,36.82,188.61,主时域0_2399
234,区域D,峰,641.88,500.67,0.4192,29.6666666667,19.835824,650.0,131.3211,0.0,338.6789,253.32,324.2496,10.9285,0.0,180.0,-169.0715,4.5812,中,508.6022,0.0,182.0,40.0633333333,213.256667,主时域0_2399
234,区域E,峰,567.24,442.45,0.2196,79.1146666667,53.306983,650.0,170.0256,0.0,259.9744,247.31,309.1375,0.0,0.0,220.0,-220.0,0.0,中,555.2441,0.0,139.1119,83.4746666667,163.835333,主时域0_2399
234,区域F,峰,597.1,465.74,0.2595,65.3893333333,47.172188,650.0,147.6512,0.0,282.3488,219.36,278.5872,0.0,0.0,220.0,-220.0,0.0,中,560.5115,0.0,130.936,69.9293333333,149.430667,主时域0_2399
235,区域A,峰,1074.39,0.0,0.631,12.64,20.753968,587.87,40.1763,0.0,547.6937,232.93,314.4555,229.2792,0.0,0.0,229.2792,144.6752,中,203.2609,0.0,45.0,17.575,215.355,主时域0_2399
235,区域B,峰,1029.62,0.0,0.5903,24.6,39.934473,587.87,49.4971,0.0,538.3729,232.4,313.74,223.7429,0.0,0.0,223.7429,132.0755,中,187.9348,0.0,40.5,32.1813333333,200.218667,主时域0_2399
235,区域C,峰,999.78,0.0,0.5598,30.88,42.262346,587.87,63.2785,0.0,524.5915,244.21,337.0098,235.4813,0.0,0.0,235.4813,131.8224,中,175.2717,0.0,38.25,34.161,210.049,主时域0_2399
235,区域D,峰,641.65,500.49,0.4275,85.4133333333,42.946105,587.87,126.745,0.0,281.125,248.94,318.6432,9.8982,0.0,180.0,-170.1018,4.2315,中,312.9032,0.0,182.0,94.9866666667,153.953333,主时域0_2399
235,区域E,峰,567.04,442.29,0.2239,61.92,41.511858,587.87,172.5831,0.0,195.2869,251.03,313.7875,0.0,0.0,220.0,-220.0,0.0,中,403.4115,0.0,141.2044,65.09,185.94,主时域0_2399
235,区域F,峰,596.88,465.57,0.2646,79.9786666667,56.445825,587.87,153.2315,0.0,214.6385,221.6,281.432,0.0,0.0,220.0,-220.0,0.0,中,422.6615,0.0,128.2005,84.3906666667,137.209333,主时域0_2399
236,区域A,峰,1073.99,0.0,0.6433,9.9013333333,19.47619,540.19,40.1695,0.0,500.0205,247.96,334.746,249.5765,0.0,0.0,249.5765,160.5525,中,154.3478,0.0,45.0,15.4466666667,232.513333,主时域0_2399
236,区域B,峰,1029.24,0.0,0.6018,8.704,24.051282,540.19,47.1704,0.0,493.0197,232.94,314.469,226.7986,0.0,0.0,226.7986,136.4874,中,143.913,0.0,40.5,17.0373333333,215.902667,主时域0_2399
236,区域C,峰,999.41,0.0,0.5707,30.88,41.561728,540.19,62.4527,0.0,477.7373,251.42,346.9596,246.2569,0.0,0.0,246.2569,140.5388,中,133.6957,0.0,38.25,33.6746666667,217.745333,主时域0_2399
236,区域D,峰,641.41,500.3,0.4358,111.8666666667,54.098732,540.19,115.9791,0.0,244.2109,232.33,297.3824,0.0,0.0,180.0,-180.0,0.0,中,117.846,0.0,181.4033,121.3233333333,111.006667,主时域0_2399
236,区域E,峰,566.83,442.13,0.2283,71.728,47.065217,540.19,149.2288,0.0,175.9326,217.06,271.325,0.0,0.0,215.0287,-215.0287,0.0,中,272.1252,0.0,122.0962,74.388,142.672,主时域0_2399
236,区域F,峰,596.66,465.39,0.2698,99.768,68.799172,540.19,183.2407,0.0,160.6272,257.65,327.2155,0.0,0.0,196.3221,-196.3221,0.0,中,267.8499,0.0,143.9748,103.773,153.877,主时域0_2399
237,区域A,峰,1073.58,0.0,0.6547,0.0,16.169312,510.22,42.0989,0.0,468.1211,259.87,350.8245,263.7256,0.0,0.0,263.7256,172.6611,中,105.4348,0.0,45.0,9.4293333333,250.440667,主时域0_2399
237,区域B,峰,1028.84,0.0,0.6125,11.68,30.176638,510.22,52.245,0.0,457.975,258.0,348.3,255.555,0.0,0.0,255.555,156.5274,中,99.8913,0.0,40.5,21.7603333333,236.239667,主时域0_2399
237,区域C,峰,999.02,0.0,0.5808,43.1013333333,58.33642,510.22,67.5747,0.0,442.6453,272.04,375.4152,269.5905,0.0,0.0,269.5905,156.5781,中,92.1196,0.0,38.25,47.3866666667,224.653333,主时域0_2399
237,区域D,峰,641.16,500.1,0.4435,72.6293333333,37.55548,510.22,129.6053,0.0,200.6147,264.9,339.072,183.5699,0.0,180.0,3.5699,81.4133,中,90.0,0.0,25.8967,82.458,182.442,主时域0_2399
237,区域E,峰,566.61,441.96,0.2323,45.4746666667,30.851449,510.22,183.4113,0.0,147.0639,266.78,333.475,0.0,0.0,179.7448,-179.7448,0.0,中,110.7663,0.0,150.0637,48.1346666667,218.645333,主时域0_2399
237,区域F,峰,596.43,465.22,0.2745,79.04,53.933747,510.22,201.8149,0.0,138.7823,276.11,350.6597,0.0,0.0,169.6228,-169.6228,0.0,中,107.8017,0.0,148.8448,81.64,194.47,主时域0_2399
238,区域A,平,666.09,0.0,0.6644,19.36,33.148148,500.0,40.4498,55.0,404.5502,249.69,337.0815,296.6317,0.0,0.0,296.6317,197.0821,低,156.5848,55.0,0.0,27.6433333333,222.046667,主时域0_2399
238,区域B,平,638.34,0.0,0.6215,19.84,33.213675,500.0,55.7098,49.5,394.7902,275.11,371.3985,315.6887,0.0,0.0,315.6887,196.2005,低,145.9263,49.5,0.0,26.7453333333,248.364667,主时域0_2399
238,区域C,平,619.84,0.0,0.5894,17.36,33.240741,500.0,68.1858,46.75,385.0642,274.5,378.81,310.6242,0.0,0.0,310.6242,183.0819,低,135.5971,46.75,0.0,24.14,250.36,主时域0_2399
238,区域D,平,397.81,310.29,0.4501,76.48,40.251359,500.0,130.7376,73.8525,132.9345,272.37,348.6336,217.896,0.0,162.4755,55.4205,98.075,低,159.4213,73.8525,0.0,87.81,184.56,主时域0_2399
238,区域E,平,351.55,274.21,0.2357,33.216,23.003953,500.0,178.09,64.382,115.8876,259.04,323.8,145.71,0.0,141.6404,4.0696,34.3438,低,171.2854,64.382,0.0,35.652,223.388,主时域0_2399
238,区域F,平,370.05,288.64,0.2786,66.6506666667,44.285714,500.0,202.843,59.4314,106.9765,270.71,343.8017,140.9587,0.0,130.7491,10.2096,39.2711,低,163.6672,59.4314,0.0,67.674,203.036,主时域0_2399
239,区域A,平,665.82,0.0,0.6716,19.36,29.177249,510.22,53.9978,54.7467,401.4755,333.32,449.982,395.9842,0.0,0.0,395.9842,265.943,低,207.4992,54.7467,0.0,25.0503333333,308.269667,主时域0_2399
239,区域B,平,638.08,0.0,0.6283,19.84,33.660969,510.22,61.0699,49.5,399.6501,301.58,407.133,346.063,0.0,0.0,346.063,217.4314,低,191.9613,49.5,0.0,26.8716666667,274.708333,主时域0_2399
239,区域C,平,619.59,0.0,0.5958,15.68,32.66358,510.22,82.0714,46.75,381.3986,330.4,455.952,373.8806,0.0,0.0,373.8806,222.7581,中,179.0746,46.75,0.0,23.1983333333,307.201667,主时域0_2399
239,区域D,平,397.65,310.17,0.455,66.0213333333,35.888813,510.22,143.5495,73.3341,132.0014,304.1,389.248,245.6985,0.0,161.335,84.3635,111.7928,低,228.3554,73.3341,0.0,77.4263333333,226.673667,主时域0_2399
239,区域E,平,351.41,274.1,0.2383,14.272,10.471014,510.22,221.1138,57.8213,104.0782,321.62,402.025,180.9112,0.0,127.2068,53.7045,43.1112,低,225.6374,57.8213,0.0,15.9486666667,305.671333,主时域0_2399
239,区域F,平,369.9,288.52,0.2817,84.0,56.400966,510.22,237.9404,54.4559,98.0207,311.0,394.97,157.0296,0.0,119.803,37.2266,44.2353,低,214.8557,54.4559,0.0,85.9666666667,225.033333,主时域0_2399
240,区域A,谷,480.67,0.0,0.676,19.36,30.219577,540.19,54.2975,55.0,430.8925,335.17,452.4795,416.182,18.0,0.0,416.182,281.339,低,275.3892,73.0,0.0,25.9906666667,309.179333,主时域0_2399
240,区域B,谷,460.65,0.0,0.6324,17.256,30.874644,540.19,73.2483,49.5,417.4417,361.72,488.322,431.2737,16.2,0.0,431.2737,272.7375,中,253.0623,65.7,0.0,24.2413333333,337.478667,主时域0_2399
240,区域C,谷,447.29,0.0,0.5997,21.92,37.074074,540.19,87.4815,46.75,405.9585,352.18,486.0084,413.8269,15.3,0.0,413.8269,248.172,中,236.7811,62.05,0.0,27.656,324.524,主时域0_2399
240,区域D,谷,287.07,223.91,0.4579,63.4773333333,33.247283,540.19,155.2807,76.9819,138.5673,333.26,426.5728,333.6921,62.4,169.3601,164.332,152.7976,低,359.3743,139.3819,0.0,72.584,260.676,主时域0_2399
240,区域E,谷,253.69,197.88,0.2399,26.2426666667,17.195323,540.19,236.8231,60.6734,109.2121,344.47,430.5875,251.3644,57.6,133.4814,117.8829,60.3023,低,336.8143,118.2734,0.0,27.2426666667,317.227333,主时域0_2399
240,区域F,谷,267.04,208.29,0.2835,89.8346666667,61.953071,540.19,284.3509,51.1678,92.1021,365.87,464.6549,240.304,60.0,112.5692,127.7348,68.1262,低,319.3535,111.1678,0.0,93.4546666667,272.415333,主时域0_2399
241,区域A,谷,480.47,0.0,0.677,19.36,27.253968,587.87,61.3089,55.0,471.5611,378.45,510.9075,467.5986,18.0,0.0,467.5986,316.5643,中,343.2792,73.0,0.0,24.1006666667,354.349333,主时域0_2399
241,区域B,谷,460.45,0.0,0.6334,19.6826666667,35.925926,587.87,74.4592,49.5,463.9108,367.7,496.395,438.1357,16.2,0.0,438.1357,277.5152,中,314.1633,65.7,0.0,28.0546666667,339.645333,主时域0_2399
241,区域C,谷,447.1,0.0,0.6006,16.6933333333,37.679012,587.87,92.062,46.75,449.058,370.62,511.4556,434.6936,15.3,0.0,434.6936,261.077,中,294.4876,62.05,0.0,25.936,344.684,主时域0_2399
241,区域D,谷,286.95,223.82,0.4586,59.52,29.21875,587.87,180.1299,81.548,146.7864,389.8,498.944,381.2141,62.4,179.4057,201.8085,174.8248,低,494.6855,143.948,0.0,65.202,324.598,主时域0_2399
241,区域E,谷,253.58,197.79,0.2402,40.48,26.294466,587.87,261.5525,65.2635,117.4743,380.44,475.55,271.5975,57.6,143.5797,128.0178,65.2377,低,452.306,122.8635,0.0,41.79,338.65,主时域0_2399
241,区域F,谷,266.93,208.21,0.2839,97.5733333333,66.608006,587.87,308.0118,55.9716,100.7489,392.47,498.4369,250.4251,60.0,123.1376,127.2875,71.0957,低,428.3668,115.9716,0.0,100.9213333333,291.548667,主时域0_2399
242,区域A,谷,480.26,0.0,0.6747,0.3226666667,8.936508,650.0,62.7847,0.0,587.2153,387.56,523.206,467.648,7.2267,0.0,467.648,315.5221,中,350.0,7.2267,0.0,5.3293333333,382.230667,主时域0_2399
242,区域B,谷,460.25,0.0,0.6312,12.48,26.866097,650.0,79.704,0.0,570.296,393.6,531.36,457.932,6.276,0.0,457.932,289.0467,中,320.0,6.276,0.0,20.08,373.52,主时域0_2399
242,区域C,谷,446.91,0.0,0.5985,6.24,23.703704,650.0,96.5779,0.0,553.4221,388.8,536.544,445.8934,5.9273,0.0,445.8934,266.8672,中,300.0,5.9273,0.0,14.62,374.18,主时域0_2399
242,区域D,谷,286.82,223.72,0.4571,65.8373333333,31.394928,650.0,185.1356,92.9729,191.8915,401.77,514.2656,391.53,62.4,180.0,211.53,178.9684,低,640.736,155.3729,0.0,70.8623333333,330.907667,主时域0_2399
242,区域E,谷,253.47,197.71,0.2394,28.7573333333,21.119895,650.0,287.0725,72.5855,130.6539,417.56,521.95,292.4775,57.6,159.6881,132.7894,70.0191,低,574.6804,130.1855,0.0,32.1573333333,385.402667,主时域0_2399
242,区域F,谷,266.81,208.11,0.2829,112.48,77.018634,650.0,318.8025,66.2395,119.2311,404.88,514.1976,255.3951,60.0,145.7269,109.6682,72.2513,低,547.032,126.2395,0.0,116.52,288.36,主时域0_2399
243,区域A,谷,480.05,0.0,0.6691,0.0,7.952381,722.35,65.3184,0.0,657.0316,403.2,544.32,479.0016,0.0,0.0,479.0016,320.5,中,350.0,0.0,0.0,4.572,398.628,主时域0_2399
243,区域B,谷,460.05,0.0,0.6259,6.448,19.071225,722.35,79.704,0.0,642.646,393.6,531.36,451.656,0.0,0.0,451.656,282.6915,中,320.0,0.0,0.0,13.1666666667,380.433333,主时域0_2399
243,区域C,谷,446.71,0.0,0.5936,0.936,14.453704,722.35,96.5779,0.0,625.7721,388.8,536.544,439.9661,0.0,0.0,439.9661,261.1639,中,300.0,0.0,0.0,7.5393333333,381.260667,主时域0_2399
243,区域D,谷,286.7,223.63,0.4533,86.9866666667,40.960145,722.35,194.5661,105.5568,242.2271,421.04,538.9312,406.7651,62.4,180.0,226.7651,184.3866,低,798.6153,167.9568,0.0,92.8133333333,328.226667,主时域0_2399
243,区域E,谷,253.36,197.62,0.2374,65.44,45.55336,722.35,298.4369,84.7826,152.6087,434.09,542.6125,301.7756,57.6,186.5218,115.2538,71.6415,低,708.5201,142.3826,0.0,70.64,363.45,主时域0_2399
243,区域F,谷,266.69,208.02,0.2806,123.7226666667,87.191166,722.35,332.8038,77.9092,140.2366,424.06,538.5562,265.7524,60.0,171.4003,94.3521,74.5701,低,676.6666,137.9092,0.0,130.4626666667,293.597333,主时域0_2399
244,区域A,谷,479.84,0.0,0.6606,0.0,12.521164,800.0,65.3184,0.0,734.6816,403.2,544.32,479.0016,0.0,0.0,479.0016,316.4285,中,350.0,0.0,0.0,7.5483333333,395.651667,主时域0_2399
244,区域B,谷,459.84,0.0,0.6179,0.0,14.883191,800.0,79.704,0.0,720.296,393.6,531.36,451.656,0.0,0.0,451.656,279.0782,中,320.0,0.0,0.0,7.9453333333,385.654667,主时域0_2399
244,区域C,谷,446.51,0.0,0.586,10.08,21.941358,800.0,96.5779,0.0,703.4221,388.8,536.544,439.9661,0.0,0.0,439.9661,257.8201,中,300.0,0.0,0.0,15.0386666667,373.761333,主时域0_2399
244,区域D,谷,286.57,223.52,0.4475,105.376,49.686368,800.0,220.8904,45.456,353.6536,474.07,606.8096,448.3192,62.4,180.0,268.3192,200.6229,低,900.0,107.856,0.0,112.5986666667,361.471333,主时域0_2399
244,区域E,谷,253.25,197.53,0.2344,96.728,64.916008,800.0,295.625,60.9957,223.3793,430.0,537.5,299.475,57.6,220.0,79.475,70.1969,低,820.0,118.5957,0.0,101.968,328.032,主时域0_2399
244,区域F,谷,266.58,207.93,0.277,79.7786666667,57.198068,800.0,347.3034,90.5393,162.9708,446.87,567.5249,280.2215,60.0,199.1865,81.035,77.6214,中,818.1736,150.5393,0.0,85.0903333333,361.779667,主时域0_2399
245,区域A,谷,479.62,0.0,0.6496,29.28,42.026455,877.65,65.3184,0.0,812.3316,403.2,544.32,479.0016,0.0,0.0,479.0016,311.1594,中,350.0,0.0,0.0,37.0013333333,366.198667,主时域0_2399
245,区域B,谷,459.63,0.0,0.6077,12.32,28.247863,877.65,79.704,0.0,797.946,393.6,531.36,451.656,0.0,0.0,451.656,274.4714,中,320.0,0.0,0.0,20.2953333333,373.304667,主时域0_2399
245,区域C,谷,446.31,0.0,0.5763,14.24,24.475309,877.65,96.5779,0.0,781.0721,388.8,536.544,439.9661,0.0,0.0,439.9661,253.5525,中,300.0,0.0,0.0,18.277,370.523,主时域0_2399
245,区域D,谷,286.44,223.42,0.4401,112.72,53.958333,877.65,219.9267,0.0,477.7233,465.9,596.352,376.4253,0.0,180.0,196.4253,165.6648,低,900.0,0.0,0.0,121.6966666667,344.203333,主时域0_2399
245,区域E,谷,253.13,197.44,0.2305,105.2,68.995389,877.65,322.7469,0.0,334.9031,469.45,586.8125,264.0656,0.0,220.0,44.0656,60.8671,中,820.0,0.0,0.0,109.1533333333,360.296667,主时域0_2399
245,区域F,谷,266.45,207.83,0.2724,42.8426666667,35.483092,877.65,357.7904,0.0,299.8596,467.65,593.9155,269.983,33.8579,220.0,49.983,73.5434,中,850.0,33.8579,0.0,50.2826666667,417.367333,主时域0_2399
246,区域A,谷,479.4,0.0,0.637,29.28,42.449735,950.0,65.3184,0.0,884.6816,403.2,544.32,479.0016,0.0,0.0,479.0016,305.124,中,350.0,0.0,0.0,37.1633333333,366.036667,主时域0_2399
246,区域B,谷,459.42,0.0,0.5959,12.32,24.293447,950.0,79.704,0.0,870.296,393.6,531.36,451.656,0.0,0.0,451.656,269.1418,中,320.0,0.0,0.0,18.0493333333,375.550667,主时域0_2399
246,区域C,谷,446.11,0.0,0.5651,33.92,45.876543,950.0,96.5779,0.0,853.4221,388.8,536.544,439.9661,0.0,0.0,439.9661,248.6248,中,300.0,0.0,0.0,37.1786666667,351.621333,主时域0_2399
246,区域D,谷,286.31,223.32,0.4315,142.72,66.191123,950.0,226.44,0.0,543.56,471.75,603.84,377.4,0.0,180.0,197.4,162.8481,低,900.0,0.0,0.0,150.9533333333,320.796667,主时域0_2399
246,区域E,谷,253.02,197.36,0.226,119.024,75.879447,950.0,314.7856,0.0,415.2144,457.87,572.3375,257.5519,0.0,220.0,37.5519,58.2067,中,820.0,0.0,0.0,121.304,336.566,主时域0_2399
246,区域F,谷,266.33,207.74,0.2671,29.776,25.276052,950.0,363.463,0.0,366.537,485.07,616.0389,252.5759,0.0,220.0,32.5759,67.463,中,850.0,0.0,0.0,35.5226666667,449.547333,主时域0_2399
247,区域A,平,737.19,0.0,0.6235,29.28,41.515873,1012.13,65.3184,0.0,946.8116,403.2,544.32,479.0016,0.0,0.0,479.0016,298.6575,中,350.0,0.0,0.0,36.395,366.805,主时域0_2399
247,区域B,平,706.47,0.0,0.5832,12.32,24.923077,1012.13,79.704,0.0,932.426,393.6,531.36,451.656,0.0,0.0,451.656,263.4058,中,320.0,0.0,0.0,18.475,375.125,主时域0_2399
247,区域C,平,686.0,0.0,0.5531,33.92,46.611111,1012.13,96.5779,0.0,915.5521,388.8,536.544,439.9661,0.0,0.0,439.9661,243.3452,中,300.0,0.0,0.0,37.496,351.304,主时域0_2399
247,区域D,平,440.27,343.41,0.4223,152.2586666667,73.343524,1012.13,220.8966,0.0,611.2334,451.49,577.9072,357.0106,0.0,180.0,177.0106,150.7656,低,900.0,0.0,0.0,165.0586666667,286.431333,主时域0_2399
247,区域E,平,389.07,303.47,0.2212,83.0506666667,53.297101,1012.13,327.5116,0.0,464.6184,439.18,548.975,221.4634,0.0,220.0,1.4634,48.9877,低,820.0,0.0,0.0,84.8806666667,354.299333,主时域0_2399
247,区域F,平,409.55,319.45,0.2615,7.5733333333,11.131815,1012.13,336.1218,0.0,456.0082,459.86,584.0222,247.9004,0.0,220.0,27.9004,64.826,中,850.0,0.0,0.0,13.5933333333,446.266667,主时域0_2399
248,区域A,平,736.85,0.0,0.6099,29.28,40.005291,1059.81,65.3184,0.0,994.4916,403.2,544.32,479.0016,0.0,0.0,479.0016,292.1431,中,350.0,0.0,0.0,35.5226666667,367.677333,主时域0_2399
248,区域B,平,706.14,0.0,0.5706,12.32,25.296296,1059.81,79.704,0.0,980.106,393.6,531.36,451.656,0.0,0.0,451.656,257.7149,中,320.0,0.0,0.0,18.585,375.015,主时域0_2399
248,区域C,平,685.68,0.0,0.5411,33.296,45.462963,1059.81,96.5779,0.0,963.2321,388.8,536.544,439.9661,0.0,0.0,439.9661,238.0656,中,300.0,0.0,0.0,36.688,352.112,主时域0_2399
248,区域D,平,440.06,343.25,0.4132,126.4906666667,63.353714,1059.81,223.1524,0.0,656.6576,447.02,572.1856,349.0332,0.0,180.0,169.0332,144.2205,低,900.0,0.0,0.0,140.6906666667,306.329333,主时域0_2399
248,区域E,平,388.89,303.33,0.2164,62.08,42.43083,1059.81,380.352,0.0,459.458,475.44,594.3,213.948,0.0,220.0,-6.052,46.2983,中,820.0,0.0,0.0,66.02,409.42,主时域0_2399
248,区域F,平,409.36,319.3,0.2558,16.64,18.797447,1059.81,310.7019,0.0,529.1081,436.87,554.8249,244.123,0.0,220.0,24.123,62.4467,中,850.0,0.0,0.0,24.3983333333,412.471667,主时域0_2399
249,区域A,平,736.5,0.0,0.5973,24.128,32.608466,1089.78,69.5448,0.0,1020.2352,403.2,544.32,474.7752,0.0,0.0,474.7752,283.5832,中,350.0,0.0,0.0,28.9746666667,374.225333,主时域0_2399
249,区域B,平,705.81,0.0,0.5587,10.6773333333,22.803419,1089.78,83.8298,0.0,1005.9502,393.6,531.36,447.5302,0.0,0.0,447.5302,250.0351,中,320.0,0.0,0.0,16.7706666667,376.829333,主时域0_2399
249,区域C,平,685.35,0.0,0.5298,45.536,59.660494,1089.78,100.744,0.0,989.036,388.8,536.544,435.8,0.0,0.0,435.8,230.8869,中,300.0,0.0,0.0,48.8246666667,339.975333,主时域0_2399
249,区域D,平,439.85,343.08,0.4046,125.768,63.239357,1089.78,219.7901,0.0,689.9899,431.69,552.5632,332.7731,0.0,180.0,152.7731,134.64,低,900.0,0.0,0.0,140.2513333333,291.438667,主时域0_2399
249,区域E,平,388.71,303.19,0.2119,8.416,11.462451,1089.78,360.9306,0.0,508.8494,426.33,532.9125,171.9819,0.0,220.0,-48.0181,36.443,低,820.0,0.0,0.0,14.466,411.864,主时域0_2399
249,区域F,平,409.17,319.15,0.2505,49.7546666667,40.771222,1089.78,312.3614,0.0,557.4186,451.73,573.6971,261.3357,0.0,220.0,41.3357,65.4646,中,850.0,0.0,0.0,58.043,393.687,主时域0_2399
250,区域A,平,736.15,0.0,0.5863,7.2266666667,16.756614,1100.0,73.4832,0.0,1026.5168,403.2,544.32,470.8368,0.0,0.0,470.8368,276.0516,中,350.0,0.0,0.0,12.6286666667,390.571333,主时域0_2399
250,区域B,平,705.48,0.0,0.5485,0.0,13.794872,1100.0,87.6744,0.0,1012.3256,393.6,531.36,443.6856,0.0,0.0,443.6856,243.3616,中,320.0,0.0,0.0,7.216,386.384,主时域0_2399
250,区域C,平,685.03,0.0,0.5201,35.3733333333,52.42284,1100.0,104.6261,0.0,995.3739,388.8,536.544,431.9179,0.0,0.0,431.9179,224.6405,中,300.0,0.0,0.0,41.0333333333,347.766667,主时域0_2399
250,区域D,平,439.64,342.92,0.3972,138.296,67.695879,1100.0,200.7141,0.0,719.2859,387.18,495.5904,294.8763,0.0,180.0,114.8763,117.1249,低,900.0,0.0,0.0,151.5093333333,235.670667,主时域0_2399
250,区域E,平,388.52,303.05,0.208,45.9253333333,35.011528,1100.0,368.2335,0.0,511.7665,417.33,521.6625,153.429,0.0,220.0,-66.571,31.9132,低,820.0,0.0,0.0,52.628,364.702,主时域0_2399
250,区域F,平,408.97,319.0,0.2459,40.8,32.988268,1100.0,258.9685,0.0,621.0315,384.74,488.6198,229.6513,0.0,220.0,9.6513,56.4713,低,850.0,0.0,0.0,47.1666666667,337.573333,主时域0_2399
251,区域A,平,735.8,0.0,0.5777,0.936,13.510582,1089.78,74.3735,0.0,1015.4065,390.13,526.6755,452.302,0.0,0.0,452.302,261.2948,中,350.0,0.0,0.0,8.1773333333,381.952667,主时域0_2399
251,区域B,平,705.14,0.0,0.5405,3.52,17.062678,1089.78,87.2545,0.0,1002.5255,377.5,509.625,422.3705,0.0,0.0,422.3705,228.2912,中,320.0,0.0,0.0,10.5053333333,366.994667,主时域0_2399
251,区域C,平,684.7,0.0,0.5125,5.576,17.219136,1089.78,107.9597,0.0,981.8203,388.8,536.544,428.5843,0.0,0.0,428.5843,219.6494,中,300.0,0.0,0.0,10.7533333333,378.046667,主时域0_2399
251,区域D,平,439.43,342.76,0.3914,119.5626666667,61.60779,1089.78,196.6665,0.0,713.1135,373.64,478.2592,281.5927,0.0,180.0,101.5927,110.2154,低,900.0,0.0,0.0,135.5226666667,238.117333,主时域0_2399
251,区域E,平,388.34,302.91,0.205,33.12,28.557312,1089.78,339.2492,0.0,530.5308,374.93,468.6625,129.4133,0.0,220.0,-90.5867,26.5297,低,820.0,0.0,0.0,41.26,333.67,主时域0_2399
251,区域F,平,408.78,318.85,0.2423,63.032,48.994134,1089.78,249.8928,0.0,619.8872,380.17,482.8159,232.9231,0.0,220.0,12.9231,56.4373,低,850.0,0.0,0.0,70.9653333333,309.204667,主时域0_2399
252,区域A,平,735.45,0.0,0.5721,9.44,23.044974,1059.81,65.7675,0.0,994.0425,333.72,450.522,384.7545,0.0,0.0,384.7545,220.118,低,350.0,0.0,0.0,17.751,315.969,主时域0_2399
252,区域B,平,704.8,0.0,0.5352,2.4053333333,15.635328,1059.81,84.0038,0.0,975.8062,353.59,477.3465,393.3427,0.0,0.0,393.3427,210.517,中,320.0,0.0,0.0,9.566,344.024,主时域0_2399
252,区域C,平,684.37,0.0,0.5075,4.0,16.391975,1059.81,106.3819,0.0,953.4281,374.25,516.465,410.0831,0.0,0.0,410.0831,208.1172,中,300.0,0.0,0.0,9.6413333333,364.608667,主时域0_2399
252,区域D,平,439.22,342.59,0.3875,145.3386666667,73.13519,1059.81,183.3137,0.0,696.4963,344.28,440.6784,257.3647,0.0,180.0,77.3647,99.7288,低,900.0,0.0,0.0,162.077,182.203,主时域0_2399
252,区域E,平,388.15,302.76,0.203,33.12,27.786561,1059.81,338.4097,0.0,501.4002,370.86,463.575,125.1653,0.0,220.0,-94.8347,25.4085,低,820.0,0.0,0.0,40.46,330.4,主时域0_2399
252,区域F,平,408.58,318.69,0.2399,70.5653333333,55.57971,1059.81,226.5832,0.0,613.2268,351.178,445.9961,219.4129,0.0,220.0,-0.5871,52.6372,低,850.0,0.0,0.0,80.052,271.126,主时域0_2399
