任务编号,任务类型,到达小时,图形处理器需求量,连续执行时长,延时敏感性,来源区域,最大网络时延,最晚完成小时,最早开工小时,执行模式
7814,人工智能训练任务,1211,118,154,低,区域D,150,2406,1211,不可抢占
7815,实时推理任务,1423,5,73,高,区域B,20,1425,1423,不可抢占
7816,批量推理任务,1853,5,245,中,区域D,80,2406,1853,不可抢占
7817,批量推理任务,2266,8,162,中,区域E,80,2406,2266,不可抢占
7818,实时推理任务,2067,7,160,高,区域F,20,2070,2067,不可抢占
7819,实时推理任务,1628,6,191,高,区域A,20,1632,1628,不可抢占
7820,人工智能训练任务,798,78,376,低,区域D,150,2406,798,不可抢占
7821,实时推理任务,908,4,212,高,区域B,20,912,908,不可抢占
7822,实时推理任务,813,5,272,高,区域B,20,818,813,不可抢占
7823,人工智能训练任务,1449,87,394,低,区域E,150,2406,1449,不可抢占
7824,人工智能训练任务,621,18,37,低,区域F,150,2406,621,不可抢占
7825,人工智能训练任务,2173,58,10,低,区域A,150,2406,2173,不可抢占
7826,人工智能训练任务,192,53,111,低,区域D,150,2406,192,不可抢占
7827,人工智能训练任务,1485,50,213,低,区域D,150,2406,1485,不可抢占
7828,人工智能训练任务,943,89,289,低,区域E,150,2406,943,不可抢占
7829,人工智能训练任务,2174,43,25,低,区域E,150,2406,2174,不可抢占
7830,实时推理任务,1533,5,96,高,区域C,20,1535,1533,不可抢占
7831,实时推理任务,410,6,76,高,区域E,20,412,410,不可抢占
7832,人工智能训练任务,678,106,223,低,区域C,150,2406,678,不可抢占
7833,人工智能训练任务,926,72,42,低,区域D,150,2406,926,不可抢占
7834,人工智能训练任务,622,34,207,低,区域D,150,2406,622,不可抢占
7835,人工智能训练任务,1736,30,33,低,区域E,150,2406,1736,不可抢占
7836,实时推理任务,1140,3,84,高,区域C,20,1142,1140,不可抢占
7837,实时推理任务,1641,1,170,高,区域C,20,1644,1641,不可抢占
7838,批量推理任务,1596,12,248,中,区域A,80,2406,1596,不可抢占
7839,人工智能训练任务,1725,71,107,低,区域D,150,2406,1725,不可抢占
7840,批量推理任务,1916,21,271,中,区域B,80,2406,1916,不可抢占
7841,批量推理任务,557,23,202,中,区域C,80,2406,557,不可抢占
7842,人工智能训练任务,1228,126,231,低,区域E,150,2406,1228,不可抢占
7843,实时推理任务,306,4,19,高,区域C,20,307,306,不可抢占
7844,批量推理任务,2276,14,274,中,区域F,80,2406,2276,不可抢占
7845,人工智能训练任务,1276,84,364,低,区域B,150,2406,1276,不可抢占
7846,实时推理任务,273,3,83,高,区域A,20,275,273,不可抢占
7847,实时推理任务,1680,7,170,高,区域B,20,1683,1680,不可抢占
7848,实时推理任务,588,1,267,高,区域B,20,593,588,不可抢占
7849,批量推理任务,656,14,282,中,区域D,80,2406,656,不可抢占
7850,实时推理任务,1602,2,396,高,区域C,20,1609,1602,不可抢占
7851,实时推理任务,1716,6,226,高,区域A,20,1720,1716,不可抢占
7852,批量推理任务,792,10,266,中,区域A,80,2406,792,不可抢占
7853,实时推理任务,1435,7,384,高,区域A,20,1442,1435,不可抢占
7854,实时推理任务,926,6,365,高,区域B,20,933,926,不可抢占
7855,批量推理任务,575,22,30,中,区域D,80,2406,575,不可抢占
7856,批量推理任务,505,22,172,中,区域E,80,2406,505,不可抢占
7857,人工智能训练任务,2399,115,77,低,区域F,150,2406,2399,不可抢占
7858,人工智能训练任务,621,122,208,低,区域B,150,2406,621,不可抢占
7859,实时推理任务,1816,2,10,高,区域A,20,1817,1816,不可抢占
7860,实时推理任务,1128,6,97,高,区域B,20,1130,1128,不可抢占
7861,批量推理任务,44,8,101,中,区域C,80,2406,44,不可抢占
7862,人工智能训练任务,480,33,169,低,区域E,150,2406,480,不可抢占
7863,人工智能训练任务,1274,60,205,低,区域F,150,2406,1274,不可抢占
7864,人工智能训练任务,420,43,318,低,区域F,150,2406,420,不可抢占
7865,人工智能训练任务,1929,111,345,低,区域C,150,2406,1929,不可抢占
7866,实时推理任务,1795,6,147,高,区域A,20,1798,1795,不可抢占
7867,批量推理任务,511,17,45,中,区域C,80,2406,511,不可抢占
7868,人工智能训练任务,1861,49,155,低,区域E,150,2406,1861,不可抢占
7869,实时推理任务,288,1,50,高,区域C,20,289,288,不可抢占
7870,人工智能训练任务,1398,40,17,低,区域F,150,2406,1398,不可抢占
7871,批量推理任务,167,23,359,中,区域A,80,2406,167,不可抢占
7872,批量推理任务,1046,23,333,中,区域B,80,2406,1046,不可抢占
7873,实时推理任务,1910,4,332,高,区域B,20,1916,1910,不可抢占
7874,批量推理任务,2396,21,27,中,区域C,80,2406,2396,不可抢占
7875,实时推理任务,1995,7,399,高,区域C,20,2002,1995,不可抢占
7876,批量推理任务,920,18,41,中,区域E,80,2406,920,不可抢占
7877,人工智能训练任务,422,27,142,低,区域F,150,2406,422,不可抢占
7878,实时推理任务,1485,7,164,高,区域A,20,1488,1485,不可抢占
7879,实时推理任务,2025,7,44,高,区域A,20,2026,2025,不可抢占
7880,人工智能训练任务,1771,41,150,低,区域D,150,2406,1771,不可抢占
7881,批量推理任务,232,6,329,中,区域D,80,2406,232,不可抢占
7882,人工智能训练任务,430,43,122,低,区域E,150,2406,430,不可抢占
7883,批量推理任务,1129,9,383,中,区域F,80,2406,1129,不可抢占
7884,批量推理任务,2080,5,332,中,区域A,80,2406,2080,不可抢占
7885,批量推理任务,1718,15,95,中,区域A,80,2406,1718,不可抢占
7886,人工智能训练任务,1029,44,63,低,区域D,150,2406,1029,不可抢占
7887,批量推理任务,340,8,382,中,区域C,80,2406,340,不可抢占
7888,实时推理任务,414,1,342,高,区域B,20,420,414,不可抢占
7889,人工智能训练任务,1988,25,212,低,区域F,150,2406,1988,不可抢占
7890,实时推理任务,2399,4,265,高,区域E,20,2404,2399,不可抢占
7891,批量推理任务,906,20,371,中,区域A,80,2406,906,不可抢占
7892,人工智能训练任务,1776,50,112,低,区域D,150,2406,1776,不可抢占
7893,人工智能训练任务,1088,48,169,低,区域D,150,2406,1088,不可抢占
7894,实时推理任务,1998,7,235,高,区域B,20,2002,1998,不可抢占
7895,人工智能训练任务,2316,23,115,低,区域E,150,2406,2316,不可抢占
7896,批量推理任务,2125,10,63,中,区域E,80,2406,2125,不可抢占
7897,人工智能训练任务,1567,36,233,低,区域A,150,2406,1567,不可抢占
7898,实时推理任务,441,3,267,高,区域A,20,446,441,不可抢占
7899,人工智能训练任务,403,113,373,低,区域D,150,2406,403,不可抢占
7900,人工智能训练任务,388,126,343,低,区域D,150,2406,388,不可抢占
7901,实时推理任务,977,1,100,高,区域B,20,979,977,不可抢占
7902,批量推理任务,2376,11,26,中,区域E,80,2406,2376,不可抢占
7903,人工智能训练任务,1727,84,175,低,区域F,150,2406,1727,不可抢占
7904,批量推理任务,163,21,46,中,区域A,80,2406,163,不可抢占
7905,批量推理任务,1803,9,344,中,区域B,80,2406,1803,不可抢占
7906,批量推理任务,2348,13,355,中,区域B,80,2406,2348,不可抢占
7907,人工智能训练任务,152,91,151,低,区域E,150,2406,152,不可抢占
7908,批量推理任务,1768,4,234,中,区域D,80,2406,1768,不可抢占
7909,人工智能训练任务,105,70,62,低,区域F,150,2406,105,不可抢占
7910,实时推理任务,2322,6,145,高,区域A,20,2325,2322,不可抢占
7911,实时推理任务,98,6,345,高,区域A,20,104,98,不可抢占
7912,人工智能训练任务,1347,81,364,低,区域D,150,2406,1347,不可抢占
7913,实时推理任务,1197,5,214,高,区域B,20,1201,1197,不可抢占
7914,批量推理任务,116,22,92,中,区域D,80,2406,116,不可抢占
7915,人工智能训练任务,1870,65,175,低,区域F,150,2406,1870,不可抢占
7916,批量推理任务,1468,22,173,中,区域F,80,2406,1468,不可抢占
7917,人工智能训练任务,1409,83,131,低,区域B,150,2406,1409,不可抢占
7918,批量推理任务,1018,19,313,中,区域B,80,2406,1018,不可抢占
7919,批量推理任务,1826,8,224,中,区域B,80,2406,1826,不可抢占
7920,实时推理任务,1329,4,34,高,区域B,20,1330,1329,不可抢占
7921,批量推理任务,1077,16,284,中,区域D,80,2406,1077,不可抢占
7922,实时推理任务,857,7,242,高,区域C,20,862,857,不可抢占
7923,人工智能训练任务,2241,96,89,低,区域F,150,2406,2241,不可抢占
7924,人工智能训练任务,1318,54,134,低,区域C,150,2406,1318,不可抢占
7925,人工智能训练任务,1643,33,394,低,区域D,150,2406,1643,不可抢占
7926,批量推理任务,704,6,286,中,区域C,80,2406,704,不可抢占
7927,批量推理任务,364,14,120,中,区域D,80,2406,364,不可抢占
7928,批量推理任务,1440,6,225,中,区域D,80,2406,1440,不可抢占
7929,人工智能训练任务,2204,60,127,低,区域F,150,2406,2204,不可抢占
7930,人工智能训练任务,932,87,191,低,区域B,150,2406,932,不可抢占
7931,批量推理任务,1252,7,368,中,区域B,80,2406,1252,不可抢占
7932,实时推理任务,370,3,294,高,区域B,20,375,370,不可抢占
7933,人工智能训练任务,1663,74,370,低,区域E,150,2406,1663,不可抢占
7934,批量推理任务,2036,12,350,中,区域D,80,2406,2036,不可抢占
7935,人工智能训练任务,762,82,354,低,区域F,150,2406,762,不可抢占
7936,批量推理任务,828,15,148,中,区域F,80,2406,828,不可抢占
7937,批量推理任务,1988,23,250,中,区域A,80,2406,1988,不可抢占
7938,批量推理任务,1380,17,40,中,区域B,80,2406,1380,不可抢占
7939,批量推理任务,1480,7,291,中,区域C,80,2406,1480,不可抢占
7940,实时推理任务,690,4,71,高,区域B,20,692,690,不可抢占
7941,批量推理任务,65,12,18,中,区域D,80,2406,65,不可抢占
7942,实时推理任务,777,7,33,高,区域C,20,778,777,不可抢占
7943,人工智能训练任务,1271,27,385,低,区域A,150,2406,1271,不可抢占
7944,人工智能训练任务,2295,93,25,低,区域D,150,2406,2295,不可抢占
7945,批量推理任务,2293,22,300,中,区域B,80,2406,2293,不可抢占
7946,人工智能训练任务,728,58,384,低,区域D,150,2406,728,不可抢占
7947,批量推理任务,311,23,241,中,区域D,80,2406,311,不可抢占
7948,实时推理任务,382,4,131,高,区域C,20,385,382,不可抢占
7949,实时推理任务,1657,3,342,高,区域E,20,1663,1657,不可抢占
7950,批量推理任务,597,12,376,中,区域A,80,2406,597,不可抢占
7951,人工智能训练任务,1393,31,62,低,区域D,150,2406,1393,不可抢占
7952,人工智能训练任务,1449,60,271,低,区域D,150,2406,1449,不可抢占
7953,批量推理任务,544,4,24,中,区域D,80,2406,544,不可抢占
7954,批量推理任务,424,17,72,中,区域D,80,2406,424,不可抢占
7955,人工智能训练任务,1203,20,130,低,区域F,150,2406,1203,不可抢占
7956,人工智能训练任务,2335,105,116,低,区域A,150,2406,2335,不可抢占
7957,实时推理任务,1326,7,25,高,区域A,20,1327,1326,不可抢占
7958,实时推理任务,1812,3,318,高,区域A,20,1818,1812,不可抢占
7959,实时推理任务,1007,7,234,高,区域B,20,1011,1007,不可抢占
7960,人工智能训练任务,634,108,183,低,区域E,150,2406,634,不可抢占
7961,人工智能训练任务,1121,113,228,低,区域F,150,2406,1121,不可抢占
7962,实时推理任务,2025,7,291,高,区域E,20,2030,2025,不可抢占
7963,实时推理任务,896,3,14,高,区域A,20,897,896,不可抢占
7964,实时推理任务,925,6,93,高,区域A,20,927,925,不可抢占
7965,批量推理任务,884,8,345,中,区域B,80,2406,884,不可抢占
7966,实时推理任务,50,7,53,高,区域B,20,51,50,不可抢占
7967,批量推理任务,998,17,180,中,区域D,80,2406,998,不可抢占
7968,实时推理任务,1979,4,367,高,区域C,20,1986,1979,不可抢占
7969,批量推理任务,1697,13,223,中,区域F,80,2406,1697,不可抢占
7970,人工智能训练任务,2257,94,107,低,区域C,150,2406,2257,不可抢占
7971,人工智能训练任务,787,39,282,低,区域D,150,2406,787,不可抢占
7972,批量推理任务,762,21,237,中,区域C,80,2406,762,不可抢占
7973,人工智能训练任务,2379,70,67,低,区域E,150,2406,2379,不可抢占
7974,批量推理任务,2357,5,116,中,区域E,80,2406,2357,不可抢占
7975,批量推理任务,1071,14,298,中,区域F,80,2406,1071,不可抢占
7976,人工智能训练任务,1490,73,138,低,区域B,150,2406,1490,不可抢占
7977,批量推理任务,1766,12,266,中,区域B,80,2406,1766,不可抢占
7978,批量推理任务,1493,7,211,中,区域B,80,2406,1493,不可抢占
7979,实时推理任务,1311,7,253,高,区域B,20,1316,1311,不可抢占
7980,人工智能训练任务,1462,51,189,低,区域E,150,2406,1462,不可抢占
7981,实时推理任务,550,6,120,高,区域C,20,552,550,不可抢占
7982,批量推理任务,1011,18,162,中,区域F,80,2406,1011,不可抢占
7983,人工智能训练任务,2371,95,365,低,区域C,150,2406,2371,不可抢占
7984,实时推理任务,395,1,249,高,区域A,20,400,395,不可抢占
7985,人工智能训练任务,1948,113,57,低,区域D,150,2406,1948,不可抢占
7986,人工智能训练任务,1284,97,217,低,区域E,150,2406,1284,不可抢占
7987,实时推理任务,933,5,120,高,区域C,20,935,933,不可抢占
7988,人工智能训练任务,1426,77,371,低,区域F,150,2406,1426,不可抢占
7989,人工智能训练任务,2269,96,122,低,区域A,150,2406,2269,不可抢占
7990,实时推理任务,1905,4,98,高,区域A,20,1907,1905,不可抢占
7991,批量推理任务,2352,4,84,中,区域B,80,2406,2352,不可抢占
7992,实时推理任务,1885,1,16,高,区域B,20,1886,1885,不可抢占
7993,人工智能训练任务,1793,51,122,低,区域E,150,2406,1793,不可抢占
7994,批量推理任务,1786,7,220,中,区域E,80,2406,1786,不可抢占
7995,实时推理任务,701,2,229,高,区域E,20,705,701,不可抢占
7996,实时推理任务,2293,7,178,高,区域A,20,2296,2293,不可抢占
7997,批量推理任务,2289,21,34,中,区域B,80,2406,2289,不可抢占
7998,人工智能训练任务,235,96,42,低,区域D,150,2406,235,不可抢占
7999,批量推理任务,1952,12,203,中,区域D,80,2406,1952,不可抢占
8000,人工智能训练任务,605,117,225,低,区域E,150,2406,605,不可抢占
8001,实时推理任务,1451,7,177,高,区域C,20,1454,1451,不可抢占
8002,实时推理任务,1130,2,172,高,区域A,20,1133,1130,不可抢占
8003,人工智能训练任务,1032,102,151,低,区域D,150,2406,1032,不可抢占
8004,人工智能训练任务,112,62,208,低,区域D,150,2406,112,不可抢占
8005,人工智能训练任务,2010,87,156,低,区域D,150,2406,2010,不可抢占
8006,批量推理任务,546,5,202,中,区域D,80,2406,546,不可抢占
8007,批量推理任务,881,13,150,中,区域E,80,2406,881,不可抢占
8008,人工智能训练任务,1851,121,335,低,区域F,150,2406,1851,不可抢占
8009,批量推理任务,2205,9,117,中,区域A,80,2406,2205,不可抢占
8010,人工智能训练任务,1247,38,66,低,区域D,150,2406,1247,不可抢占
8011,批量推理任务,952,17,261,中,区域C,80,2406,952,不可抢占
8012,人工智能训练任务,2080,38,301,低,区域E,150,2406,2080,不可抢占
8013,批量推理任务,590,4,268,中,区域D,80,2406,590,不可抢占
8014,人工智能训练任务,1288,29,43,低,区域F,150,2406,1288,不可抢占
8015,实时推理任务,216,7,334,高,区域A,20,222,216,不可抢占
8016,人工智能训练任务,1467,125,113,低,区域D,150,2406,1467,不可抢占
8017,人工智能训练任务,490,44,241,低,区域D,150,2406,490,不可抢占
8018,实时推理任务,260,6,126,高,区域B,20,263,260,不可抢占
8019,人工智能训练任务,1694,94,194,低,区域E,150,2406,1694,不可抢占
8020,人工智能训练任务,660,112,332,低,区域F,150,2406,660,不可抢占
8021,人工智能训练任务,797,51,84,低,区域F,150,2406,797,不可抢占
8022,实时推理任务,734,1,293,高,区域A,20,739,734,不可抢占
8023,实时推理任务,120,1,18,高,区域A,20,121,120,不可抢占
8024,人工智能训练任务,2027,90,388,低,区域D,150,2406,2027,不可抢占
8025,人工智能训练任务,489,64,390,低,区域E,150,2406,489,不可抢占
8026,批量推理任务,364,15,369,中,区域D,80,2406,364,不可抢占
8027,实时推理任务,1652,5,42,高,区域C,20,1653,1652,不可抢占
8028,人工智能训练任务,1586,96,166,低,区域F,150,2406,1586,不可抢占
8029,批量推理任务,1561,11,283,中,区域A,80,2406,1561,不可抢占
8030,人工智能训练任务,1943,62,278,低,区域D,150,2406,1943,不可抢占
8031,实时推理任务,1406,3,83,高,区域B,20,1408,1406,不可抢占
8032,实时推理任务,392,1,396,高,区域B,20,399,392,不可抢占
8033,批量推理任务,1454,6,267,中,区域E,80,2406,1454,不可抢占
8034,实时推理任务,1762,3,339,高,区域D,20,1768,1762,不可抢占
8035,批量推理任务,2046,10,170,中,区域A,80,2406,2046,不可抢占
8036,实时推理任务,755,2,152,高,区域A,20,758,755,不可抢占
8037,批量推理任务,1644,14,175,中,区域B,80,2406,1644,不可抢占
8038,实时推理任务,928,3,394,高,区域B,20,935,928,不可抢占
8039,批量推理任务,334,13,88,中,区域D,80,2406,334,不可抢占
8040,批量推理任务,1850,11,348,中,区域E,80,2406,1850,不可抢占
8041,实时推理任务,2145,3,45,高,区域F,20,2146,2145,不可抢占
8042,批量推理任务,83,9,51,中,区域A,80,2406,83,不可抢占
8043,人工智能训练任务,249,65,155,低,区域D,150,2406,249,不可抢占
8044,人工智能训练任务,242,117,315,低,区域D,150,2406,242,不可抢占
8045,人工智能训练任务,1528,45,304,低,区域E,150,2406,1528,不可抢占
8046,实时推理任务,690,4,235,高,区域C,20,694,690,不可抢占
8047,实时推理任务,2167,3,225,高,区域C,20,2171,2167,不可抢占
8048,实时推理任务,19,4,313,高,区域A,20,25,19,不可抢占
8049,批量推理任务,1575,17,314,中,区域A,80,2406,1575,不可抢占
8050,批量推理任务,113,6,342,中,区域B,80,2406,113,不可抢占
8051,人工智能训练任务,2307,24,370,低,区域D,150,2406,2307,不可抢占
8052,批量推理任务,284,11,281,中,区域D,80,2406,284,不可抢占
8053,实时推理任务,772,3,188,高,区域C,20,776,772,不可抢占
8054,人工智能训练任务,2040,71,375,低,区域F,150,2406,2040,不可抢占
8055,实时推理任务,2192,4,247,高,区域A,20,2197,2192,不可抢占
8056,实时推理任务,1414,4,93,高,区域A,20,1416,1414,不可抢占
8057,实时推理任务,633,5,136,高,区域B,20,636,633,不可抢占
8058,人工智能训练任务,1532,56,358,低,区域E,150,2406,1532,不可抢占
8059,人工智能训练任务,724,82,349,低,区域E,150,2406,724,不可抢占
8060,批量推理任务,727,5,169,中,区域E,80,2406,727,不可抢占
8061,人工智能训练任务,609,71,177,低,区域A,150,2406,609,不可抢占
8062,批量推理任务,124,20,383,中,区域A,80,2406,124,不可抢占
8063,人工智能训练任务,158,112,283,低,区域D,150,2406,158,不可抢占
8064,人工智能训练任务,492,88,232,低,区域D,150,2406,492,不可抢占
8065,批量推理任务,1193,13,285,中,区域D,80,2406,1193,不可抢占
8066,实时推理任务,1429,4,202,高,区域C,20,1433,1429,不可抢占
8067,人工智能训练任务,738,119,309,低,区域F,150,2406,738,不可抢占
8068,人工智能训练任务,2123,38,312,低,区域B,150,2406,2123,不可抢占
8069,实时推理任务,408,5,227,高,区域A,20,412,408,不可抢占
8070,批量推理任务,791,21,281,中,区域B,80,2406,791,不可抢占
8071,人工智能训练任务,635,52,126,低,区域E,150,2406,635,不可抢占
8072,人工智能训练任务,1381,25,360,低,区域E,150,2406,1381,不可抢占
8073,批量推理任务,2244,13,378,中,区域E,80,2406,2244,不可抢占
8074,批量推理任务,1834,5,317,中,区域A,80,2406,1834,不可抢占
8075,实时推理任务,2271,6,22,高,区域A,20,2272,2271,不可抢占
8076,实时推理任务,1385,1,59,高,区域A,20,1386,1385,不可抢占
8077,实时推理任务,1497,1,258,高,区域B,20,1502,1497,不可抢占
8078,实时推理任务,980,7,191,高,区域B,20,984,980,不可抢占
8079,批量推理任务,771,5,115,中,区域E,80,2406,771,不可抢占
8080,批量推理任务,170,12,129,中,区域F,80,2406,170,不可抢占
8081,批量推理任务,240,21,81,中,区域A,80,2406,240,不可抢占
8082,批量推理任务,404,22,278,中,区域B,80,2406,404,不可抢占
8083,人工智能训练任务,372,24,71,低,区域D,150,2406,372,不可抢占
8084,人工智能训练任务,1312,124,248,低,区域E,150,2406,1312,不可抢占
8085,人工智能训练任务,2306,110,182,低,区域E,150,2406,2306,不可抢占
8086,人工智能训练任务,2178,68,328,低,区域F,150,2406,2178,不可抢占
8087,人工智能训练任务,1614,110,66,低,区域F,150,2406,1614,不可抢占
8088,人工智能训练任务,823,69,55,低,区域C,150,2406,823,不可抢占
8089,批量推理任务,1312,13,102,中,区域B,80,2406,1312,不可抢占
8090,实时推理任务,1834,2,58,高,区域B,20,1835,1834,不可抢占
8091,实时推理任务,1199,7,276,高,区域B,20,1204,1199,不可抢占
8092,人工智能训练任务,1746,88,97,低,区域E,150,2406,1746,不可抢占
8093,批量推理任务,1782,18,277,中,区域F,80,2406,1782,不可抢占
8094,批量推理任务,337,14,175,中,区域A,80,2406,337,不可抢占
8095,批量推理任务,97,11,226,中,区域B,80,2406,97,不可抢占
8096,批量推理任务,427,18,390,中,区域B,80,2406,427,不可抢占
8097,批量推理任务,2298,21,18,中,区域C,80,2406,2298,不可抢占
8098,批量推理任务,1592,12,332,中,区域D,80,2406,1592,不可抢占
8099,批量推理任务,2038,21,154,中,区域E,80,2406,2038,不可抢占
8100,批量推理任务,225,7,123,中,区域F,80,2406,225,不可抢占
8101,人工智能训练任务,170,78,284,低,区域C,150,2406,170,不可抢占
8102,实时推理任务,365,4,79,高,区域A,20,367,365,不可抢占
8103,批量推理任务,2339,18,373,中,区域C,80,2406,2339,不可抢占
8104,人工智能训练任务,710,63,212,低,区域E,150,2406,710,不可抢占
8105,人工智能训练任务,1284,17,301,低,区域E,150,2406,1284,不可抢占
8106,人工智能训练任务,196,20,129,低,区域F,150,2406,196,不可抢占
8107,人工智能训练任务,114,37,177,低,区域A,150,2406,114,不可抢占
8108,实时推理任务,1240,5,221,高,区域A,20,1244,1240,不可抢占
8109,批量推理任务,771,6,166,中,区域B,80,2406,771,不可抢占
8110,批量推理任务,2202,12,31,中,区域C,80,2406,2202,不可抢占
8111,实时推理任务,1776,7,241,高,区域B,20,1781,1776,不可抢占
8112,人工智能训练任务,2082,73,192,低,区域F,150,2406,2082,不可抢占
8113,人工智能训练任务,730,28,211,低,区域F,150,2406,730,不可抢占
8114,人工智能训练任务,1518,80,52,低,区域C,150,2406,1518,不可抢占
8115,人工智能训练任务,183,108,333,低,区域D,150,2406,183,不可抢占
8116,实时推理任务,404,5,53,高,区域B,20,405,404,不可抢占
8117,批量推理任务,760,16,197,中,区域D,80,2406,760,不可抢占
8118,实时推理任务,1311,6,183,高,区域C,20,1315,1311,不可抢占
8119,实时推理任务,833,1,229,高,区域C,20,837,833,不可抢占
8120,批量推理任务,846,17,269,中,区域A,80,2406,846,不可抢占
8121,人工智能训练任务,63,82,356,低,区域D,150,2406,63,不可抢占
8122,实时推理任务,1562,6,175,高,区域A,20,1565,1562,不可抢占
8123,实时推理任务,476,7,12,高,区域B,20,477,476,不可抢占
8124,批量推理任务,19,6,171,中,区域D,80,2406,19,不可抢占
8125,实时推理任务,1354,1,273,高,区域C,20,1359,1354,不可抢占
8126,实时推理任务,1597,3,343,高,区域E,20,1603,1597,不可抢占
8127,实时推理任务,1522,4,307,高,区域A,20,1528,1522,不可抢占
8128,批量推理任务,183,12,170,中,区域B,80,2406,183,不可抢占
8129,实时推理任务,580,5,342,高,区域B,20,586,580,不可抢占
8130,人工智能训练任务,1008,69,106,低,区域E,150,2406,1008,不可抢占
8131,人工智能训练任务,1057,100,321,低,区域E,150,2406,1057,不可抢占
8132,批量推理任务,2336,7,19,中,区域E,80,2406,2336,不可抢占
8133,人工智能训练任务,1268,102,260,低,区域F,150,2406,1268,不可抢占
8134,实时推理任务,1116,2,258,高,区域A,20,1121,1116,不可抢占
8135,批量推理任务,41,18,139,中,区域B,80,2406,41,不可抢占
8136,批量推理任务,1694,22,244,中,区域C,80,2406,1694,不可抢占
8137,批量推理任务,1139,15,10,中,区域D,80,2406,1139,不可抢占
8138,实时推理任务,1999,2,11,高,区域C,20,2000,1999,不可抢占
8139,批量推理任务,42,22,284,中,区域F,80,2406,42,不可抢占
8140,人工智能训练任务,1619,121,150,低,区域B,150,2406,1619,不可抢占
8141,实时推理任务,1839,2,104,高,区域A,20,1841,1839,不可抢占
8142,实时推理任务,913,5,66,高,区域B,20,915,913,不可抢占
8143,实时推理任务,468,2,79,高,区域B,20,470,468,不可抢占
8144,实时推理任务,650,2,356,高,区域C,20,656,650,不可抢占
8145,批量推理任务,272,8,211,中,区域E,80,2406,272,不可抢占
8146,实时推理任务,2199,2,66,高,区域F,20,2201,2199,不可抢占
8147,批量推理任务,685,7,236,中,区域A,80,2406,685,不可抢占
8148,人工智能训练任务,1050,52,157,低,区域D,150,2406,1050,不可抢占
8149,人工智能训练任务,1631,28,387,低,区域D,150,2406,1631,不可抢占
8150,批量推理任务,2196,16,357,中,区域D,80,2406,2196,不可抢占
8151,批量推理任务,1166,9,310,中,区域D,80,2406,1166,不可抢占
8152,人工智能训练任务,1071,75,194,低,区域F,150,2406,1071,不可抢占
8153,实时推理任务,489,6,220,高,区域A,20,493,489,不可抢占
8154,批量推理任务,827,8,360,中,区域B,80,2406,827,不可抢占
8155,实时推理任务,2272,4,367,高,区域B,20,2279,2272,不可抢占
8156,批量推理任务,822,22,10,中,区域C,80,2406,822,不可抢占
8157,实时推理任务,2122,7,293,高,区域C,20,2127,2122,不可抢占
8158,实时推理任务,1920,4,197,高,区域C,20,1924,1920,不可抢占
8159,批量推理任务,447,21,58,中,区域F,80,2406,447,不可抢占
8160,实时推理任务,936,7,226,高,区域A,20,940,936,不可抢占
8161,实时推理任务,1589,2,220,高,区域A,20,1593,1589,不可抢占
8162,实时推理任务,342,5,290,高,区域B,20,347,342,不可抢占
8163,人工智能训练任务,276,114,142,低,区域E,150,2406,276,不可抢占
8164,实时推理任务,1785,1,304,高,区域C,20,1791,1785,不可抢占
8165,人工智能训练任务,1519,126,347,低,区域F,150,2406,1519,不可抢占
8166,批量推理任务,584,17,398,中,区域A,80,2406,584,不可抢占
8167,批量推理任务,168,7,358,中,区域A,80,2406,168,不可抢占
8168,人工智能训练任务,2062,16,321,低,区域D,150,2406,2062,不可抢占
8169,实时推理任务,861,5,12,高,区域B,20,862,861,不可抢占
8170,人工智能训练任务,1302,37,65,低,区域E,150,2406,1302,不可抢占
8171,实时推理任务,2329,2,185,高,区域C,20,2333,2329,不可抢占
8172,实时推理任务,625,4,168,高,区域E,20,628,625,不可抢占
8173,批量推理任务,1027,19,218,中,区域A,80,2406,1027,不可抢占
8174,实时推理任务,1434,2,68,高,区域A,20,1436,1434,不可抢占
8175,批量推理任务,821,13,253,中,区域C,80,2406,821,不可抢占
8176,人工智能训练任务,231,24,346,低,区域E,150,2406,231,不可抢占
8177,批量推理任务,1556,12,110,中,区域D,80,2406,1556,不可抢占
8178,实时推理任务,1195,7,162,高,区域C,20,1198,1195,不可抢占
8179,人工智能训练任务,260,125,275,低,区域A,150,2406,260,不可抢占
8180,实时推理任务,753,5,92,高,区域A,20,755,753,不可抢占
8181,人工智能训练任务,796,74,335,低,区域D,150,2406,796,不可抢占
8182,批量推理任务,1797,10,22,中,区域C,80,2406,1797,不可抢占
8183,实时推理任务,1804,3,257,高,区域B,20,1809,1804,不可抢占
8184,实时推理任务,1006,1,44,高,区域C,20,1007,1006,不可抢占
8185,人工智能训练任务,2164,53,299,低,区域F,150,2406,2164,不可抢占
8186,批量推理任务,2280,15,79,中,区域A,80,2406,2280,不可抢占
8187,实时推理任务,587,2,377,高,区域A,20,594,587,不可抢占
8188,人工智能训练任务,1300,42,33,低,区域D,150,2406,1300,不可抢占
8189,实时推理任务,456,2,63,高,区域B,20,458,456,不可抢占
8190,人工智能训练任务,266,70,242,低,区域E,150,2406,266,不可抢占
8191,批量推理任务,2121,22,129,中,区域E,80,2406,2121,不可抢占
8192,人工智能训练任务,71,112,63,低,区域F,150,2406,71,不可抢占
